NUMBER,MOVIE,WEEK_NUM,WEEKEND_PER_THEATER,WEEKEND_DATE
12,Gladiator,11,1520,7/14/00
12,Gladiator,12,1408,7/21/00
12,Gladiator,13,1343,7/28/00
12,Gladiator,14,1090,8/4/00
12,Gladiator,15,1014,8/11/00
12,Gladiator,16,1045,8/18/00
12,Gladiator,17,889,8/25/00
12,Gladiator,18,1325,9/1/00
12,Gladiator,19,828,9/8/00
12,Gladiator,20,703,9/15/00
12,Gladiator,21,782,9/22/00
12,Gladiator,22,672,9/29/00
12,Gladiator,23,742,10/6/00
12,Gladiator,24,663,10/13/00
12,Gladiator,25,1778,2/16/01
12,Gladiator,26,1574,2/23/01
12,Gladiator,27,2497,3/2/01
12,Gladiator,28,2459,3/9/01
12,Gladiator,29,1841,3/16/01
12,Gladiator,30,2238,3/23/01
12,Gladiator,31,792,3/30/01
12,Gladiator,32,563,4/6/01
12,Gladiator,33,561,4/13/01
13,Gods and Monsters,1,12585,11/6/98
13,Gods and Monsters,2,9354,11/13/98
13,Gods and Monsters,3,3775,11/20/98
13,Gods and Monsters,4,3585,11/27/98
13,Gods and Monsters,5,2907,12/4/98
13,Gods and Monsters,6,2574,12/11/98
13,Gods and Monsters,7,2411,12/18/98
13,Gods and Monsters,8,2004,12/25/98
13,Gods and Monsters,9,2093,1/1/99
13,Gods and Monsters,10,1588,1/8/99
13,Gods and Monsters,11,1936,1/15/99
13,Gods and Monsters,12,1645,1/22/99
13,Gods and Monsters,13,1761,1/29/99
13,Gods and Monsters,14,1595,2/5/99
13,Gods and Monsters,15,2335,2/12/99
13,Gods and Monsters,16,1686,2/19/99
13,Gods and Monsters,17,1438,2/26/99
13,Gods and Monsters,18,1483,3/5/99
13,Gods and Monsters,19,2051,3/12/99
13,Gods and Monsters,20,2207,3/19/99
13,Gods and Monsters,21,2381,3/26/99
13,Gods and Monsters,22,2219,4/2/99
13,Gods and Monsters,23,1393,4/9/99
13,Gods and Monsters,24,1229,4/16/99
13,Gods and Monsters,25,855,4/23/99
13,Gods and Monsters,26,771,4/30/99
13,Gods and Monsters,27,906,5/7/99
13,Gods and Monsters,28,757,5/14/99
13,Gods and Monsters,29,694,5/21/99
14,"Good Girl, The",1,37911,8/9/02
14,"Good Girl, The",2,14011,8/16/02
14,"Good Girl, The",3,7782,8/23/02
14,"Good Girl, The",4,4377,8/30/02
14,"Good Girl, The",5,2330,9/6/02
14,"Good Girl, The",6,1879,9/13/02
14,"Good Girl, The",7,1164,9/20/02
14,"Good Girl, The",8,895,9/27/02
14,"Good Girl, The",9,611,10/4/02
14,"Good Girl, The",10,521,10/11/02
14,"Good Girl, The",11,585,10/18/02
14,"Good Girl, The",12,393,10/25/02
14,"Good Girl, The",13,400,11/1/02
14,"Good Girl, The",14,394,11/8/02
14,"Good Girl, The",15,556,11/15/02
14,"Good Girl, The",16,645,11/22/02
14,"Good Girl, The",17,382,11/29/02
14,"Good Girl, The",18,454,12/6/02
15,Harry Potter 1: Sorcerer's Stone,1,24590,11/16/01
15,Harry Potter 1: Sorcerer's Stone,2,15656,11/23/01
15,Harry Potter 1: Sorcerer's Stone,3,6439,11/30/01
15,Harry Potter 1: Sorcerer's Stone,4,4014,12/7/01
15,Harry Potter 1: Sorcerer's Stone,5,2899,12/14/01
15,Harry Potter 1: Sorcerer's Stone,6,2142,12/21/01
15,Harry Potter 1: Sorcerer's Stone,7,3446,12/28/01
15,Harry Potter 1: Sorcerer's Stone,8,2212,1/4/02
15,Harry Potter 1: Sorcerer's Stone,9,1693,1/11/02
15,Harry Potter 1: Sorcerer's Stone,10,1397,1/18/02
15,Harry Potter 1: Sorcerer's Stone,11,1167,1/25/02
15,Harry Potter 1: Sorcerer's Stone,12,1114,2/1/02
15,Harry Potter 1: Sorcerer's Stone,13,1096,2/8/02
15,Harry Potter 1: Sorcerer's Stone,14,1040,2/15/02
15,Harry Potter 1: Sorcerer's Stone,15,1237,2/22/02
15,Harry Potter 1: Sorcerer's Stone,16,1076,3/1/02
15,Harry Potter 1: Sorcerer's Stone,17,1093,3/8/02
15,Harry Potter 1: Sorcerer's Stone,18,894,3/15/02
15,Harry Potter 1: Sorcerer's Stone,19,1190,3/22/02
15,Harry Potter 1: Sorcerer's Stone,20,932,3/29/02
15,Harry Potter 1: Sorcerer's Stone,21,1360,4/5/02
15,Harry Potter 1: Sorcerer's Stone,22,1397,4/12/02
15,Harry Potter 1: Sorcerer's Stone,23,2231,4/19/02
15,Harry Potter 1: Sorcerer's Stone,24,2219,4/26/02
15,Harry Potter 1: Sorcerer's Stone,25,1520,5/3/02
15,Harry Potter 1: Sorcerer's Stone,26,1623,5/10/02
15,Harry Potter 1: Sorcerer's Stone,27,610,5/17/02
16,Harry Potter 2: Chamber of Secrets,1,23997,11/15/02
16,Harry Potter 2: Chamber of Secrets,2,11469,11/22/02
16,Harry Potter 2: Chamber of Secrets,3,8723,11/29/02
16,Harry Potter 2: Chamber of Secrets,4,2978,12/6/02
16,Harry Potter 2: Chamber of Secrets,5,2091,12/13/02
16,Harry Potter 2: Chamber of Secrets,6,1590,12/20/02
16,Harry Potter 2: Chamber of Secrets,7,2585,12/27/02
16,Harry Potter 2: Chamber of Secrets,8,2309,1/3/03
16,Harry Potter 2: Chamber of Secrets,9,1554,1/10/03
16,Harry Potter 2: Chamber of Secrets,10,1311,1/17/03
16,Harry Potter 2: Chamber of Secrets,11,994,1/24/03
16,Harry Potter 2: Chamber of Secrets,12,1010,1/31/03
16,Harry Potter 2: Chamber of Secrets,13,861,2/7/03
16,Harry Potter 2: Chamber of Secrets,14,744,2/14/03
16,Harry Potter 2: Chamber of Secrets,15,667,2/21/03
16,Harry Potter 2: Chamber of Secrets,16,572,2/28/03
16,Harry Potter 2: Chamber of Secrets,17,500,3/7/03
16,Harry Potter 2: Chamber of Secrets,18,592,3/14/03
16,Harry Potter 2: Chamber of Secrets,19,574,3/21/03
16,Harry Potter 2: Chamber of Secrets,20,781,3/28/03
16,Harry Potter 2: Chamber of Secrets,21,772,4/4/03
16,Harry Potter 2: Chamber of Secrets,22,304,4/11/03
17,Harry Potter 3: Prisoner of Azkaban,1,24303,6/4/04
17,Harry Potter 3: Prisoner of Azkaban,2,9056,6/11/04
17,Harry Potter 3: Prisoner of Azkaban,3,4738,6/18/04
17,Harry Potter 3: Prisoner of Azkaban,4,3304,6/25/04
17,Harry Potter 3: Prisoner of Azkaban,5,2179,7/2/04
17,Harry Potter 3: Prisoner of Azkaban,6,2024,7/9/04
17,Harry Potter 3: Prisoner of Azkaban,7,1889,7/16/04
17,Harry Potter 3: Prisoner of Azkaban,8,1664,7/23/04
17,Harry Potter 3: Prisoner of Azkaban,9,1635,7/30/04
17,Harry Potter 3: Prisoner of Azkaban,10,1781,8/6/04
17,Harry Potter 3: Prisoner of Azkaban,11,1456,8/13/04
17,Harry Potter 3: Prisoner of Azkaban,12,1425,8/20/04
17,Harry Potter 3: Prisoner of Azkaban,13,1242,8/27/04
17,Harry Potter 3: Prisoner of Azkaban,14,1057,9/3/04
17,Harry Potter 3: Prisoner of Azkaban,15,635,9/10/04
17,Harry Potter 3: Prisoner of Azkaban,16,746,9/17/04
17,Harry Potter 3: Prisoner of Azkaban,17,560,9/24/04
17,Harry Potter 3: Prisoner of Azkaban,18,393,10/1/04
17,Harry Potter 3: Prisoner of Azkaban,19,366,10/8/04
17,Harry Potter 3: Prisoner of Azkaban,20,712,10/15/04
17,Harry Potter 3: Prisoner of Azkaban,21,781,10/22/04
17,Harry Potter 3: Prisoner of Azkaban,22,576,10/29/04
18,Harry Potter 4: Goblet of Fire,1,26525,11/18/05
18,Harry Potter 4: Goblet of Fire,2,14185,11/25/05
18,Harry Potter 4: Goblet of Fire,3,5152,12/2/05
18,Harry Potter 4: Goblet of Fire,4,2754,12/9/05
18,Harry Potter 4: Goblet of Fire,5,1869,12/16/05
18,Harry Potter 4: Goblet of Fire,6,1555,12/23/05
18,Harry Potter 4: Goblet of Fire,7,2455,12/30/05
18,Harry Potter 4: Goblet of Fire,8,1838,1/6/06
18,Harry Potter 4: Goblet of Fire,9,1640,1/13/06
18,Harry Potter 4: Goblet of Fire,10,1586,1/20/06
18,Harry Potter 4: Goblet of Fire,11,1583,1/27/06
18,Harry Potter 4: Goblet of Fire,12,1580,2/3/06
18,Harry Potter 4: Goblet of Fire,13,1633,2/10/06
18,Harry Potter 4: Goblet of Fire,14,1479,2/17/06
18,Harry Potter 4: Goblet of Fire,15,1221,2/24/06
18,Harry Potter 4: Goblet of Fire,16,961,3/3/06
,,,,
18,Harry Potter 4: Goblet of Fire,17,870,3/10/06
,,,,
18,Harry Potter 4: Goblet of Fire,18,859,3/17/06
,,,,
18,Harry Potter 4: Goblet of Fire,19,717,3/24/06
,,,,
18,Harry Potter 4: Goblet of Fire,20,968,3/31/06
,,,,
19,Harry Potter 5: Order of the Phoenix,1,17995,7/13/07
,,,,
19,Harry Potter 5: Order of the Phoenix,2,7587,7/20/07
,,,,
19,Harry Potter 5: Order of the Phoenix,3,4428,7/27/07
,,,,
19,Harry Potter 5: Order of the Phoenix,4,3047,8/3/07
,,,,
19,Harry Potter 5: Order of the Phoenix,5,2101,8/10/07
,,,,
19,Harry Potter 5: Order of the Phoenix,6,1870,8/17/07
,,,,
19,Harry Potter 5: Order of the Phoenix,7,1817,8/24/07
,,,,
19,Harry Potter 5: Order of the Phoenix,8,1862,8/31/07
,,,,
19,Harry Potter 5: Order of the Phoenix,9,1331,9/7/07
,,,,
19,Harry Potter 5: Order of the Phoenix,10,1364,9/14/07
,,,,
19,Harry Potter 5: Order of the Phoenix,11,1026,9/21/07
,,,,
19,Harry Potter 5: Order of the Phoenix,12,953,9/28/07
,,,,
19,Harry Potter 5: Order of the Phoenix,13,891,10/5/07
,,,,
19,Harry Potter 5: Order of the Phoenix,14,764,10/12/07
,,,,
19,Harry Potter 5: Order of the Phoenix,15,736,10/19/07
,,,,
19,Harry Potter 5: Order of the Phoenix,16,657,10/26/07
,,,,
19,Harry Potter 5: Order of the Phoenix,17,675,11/2/07
,,,,
19,Harry Potter 5: Order of the Phoenix,18,751,11/9/07
,,,,
19,Harry Potter 5: Order of the Phoenix,19,564,11/16/07
,,,,
19,Harry Potter 5: Order of the Phoenix,20,833,11/23/07
,,,,
19,Harry Potter 5: Order of the Phoenix,21,443,11/30/07
,,,,
19,Harry Potter 5: Order of the Phoenix,22,270,12/7/07
,,,,
20,Home Alone,1,14211,11/16/90
20,Home Alone,2,16346,11/23/90
20,Home Alone,3,10720,11/30/90
20,Home Alone,4,8068,12/7/90
20,Home Alone,5,5760,12/14/90
20,Home Alone,6,6981,12/21/90
20,Home Alone,7,11746,12/28/90
20,Home Alone,8,5811,1/4/91
20,Home Alone,9,4549,1/11/91
20,Home Alone,10,5241,1/18/91
20,Home Alone,11,3451,1/25/91
20,Home Alone,12,4089,2/1/91
20,Home Alone,13,3022,2/8/91
20,Home Alone,14,4064,2/15/91
20,Home Alone,15,2722,2/22/91
20,Home Alone,16,2528,3/1/91
20,Home Alone,17,2085,3/8/91
20,Home Alone,18,1933,3/15/91
20,Home Alone,19,1580,3/22/91
20,Home Alone,20,1381,3/29/91
20,Home Alone,21,1231,4/5/91
20,Home Alone,22,1253,4/12/91
20,Home Alone,23,1137,4/19/91
20,Home Alone,24,899,4/26/91
20,Home Alone,25,901,5/3/91
20,Home Alone,26,791,5/10/91
20,Home Alone,27,999,5/17/91
20,Home Alone,28,2130,5/24/91
20,Home Alone,29,1626,5/31/91
20,Home Alone,30,1217,6/14/91
21,In the Company of Men,1,12501,8/1/97
21,In the Company of Men,2,10778,8/8/97
21,In the Company of Men,3,7355,8/15/97
21,In the Company of Men,4,4037,8/22/97
21,In the Company of Men,5,4107,8/29/97
21,In the Company of Men,6,2770,9/5/97
21,In the Company of Men,7,1897,9/12/97
21,In the Company of Men,8,1088,9/19/97
21,In the Company of Men,9,1405,9/26/97
21,In the Company of Men,10,815,10/3/97
21,In the Company of Men,11,631,10/10/97
21,In the Company of Men,12,508,10/31/97
21,In the Company of Men,13,690,11/7/97
21,In the Company of Men,14,246,11/14/97
21,In the Company of Men,15,319,11/21/97
21,In the Company of Men,16,275,11/28/97
22,Independence Day,1,17428,7/5/96
22,Independence Day,2,12119,7/12/96
22,Independence Day,3,7158,7/19/96
22,Independence Day,4,4635,7/26/96
22,Independence Day,5,3944,8/2/96
22,Independence Day,6,3353,8/9/96
22,Independence Day,7,2575,8/16/96
22,Independence Day,8,1988,8/23/96
22,Independence Day,9,2523,8/30/96
22,Independence Day,10,1538,9/6/96
22,Independence Day,11,1366,9/13/96
22,Independence Day,12,1140,9/20/96
22,Independence Day,13,1400,9/27/96
22,Independence Day,14,933,10/4/96
22,Independence Day,15,944,10/11/96
22,Independence Day,16,1026,10/18/96
22,Independence Day,17,1082,10/25/96
22,Independence Day,18,1413,11/1/96
22,Independence Day,19,1480,11/8/96
22,Independence Day,20,1245,11/15/96
22,Independence Day,21,860,11/22/96
22,Independence Day,22,1073,11/29/96
22,Independence Day,23,393,12/6/96
22,Independence Day,24,245,12/13/96
23,Jurassic Park,1,20865,6/11/93
23,Jurassic Park,2,15780,6/18/93
23,Jurassic Park,3,11330,6/25/93
23,Jurassic Park,4,10135,7/2/93
23,Jurassic Park,5,5970,7/9/93
23,Jurassic Park,6,4250,7/16/93
23,Jurassic Park,7,3580,7/23/93
23,Jurassic Park,8,3215,7/30/93
23,Jurassic Park,9,2685,8/6/93
23,Jurassic Park,10,2400,8/13/93
23,Jurassic Park,11,2275,8/20/93
23,Jurassic Park,12,1990,8/27/93
23,Jurassic Park,13,2890,9/3/93
23,Jurassic Park,14,1625,9/10/93
23,Jurassic Park,15,1690,9/17/93
23,Jurassic Park,16,1475,9/24/93
23,Jurassic Park,17,1190,10/1/93
23,Jurassic Park,18,990,12/10/93
23,Jurassic Park,19,945,12/17/93
23,Jurassic Park,20,1085,1/7/94
23,Jurassic Park,21,1155,1/14/94
24,"Last Mimzy, The",1,3323,3/23/07
24,"Last Mimzy, The",2,1265,3/30/07
24,"Last Mimzy, The",3,716,4/6/07
24,"Last Mimzy, The",4,786,4/13/07
24,"Last Mimzy, The",5,656,4/20/07
24,"Last Mimzy, The",6,530,4/27/07
24,"Last Mimzy, The",7,483,5/4/07
24,"Last Mimzy, The",8,514,5/11/07
24,"Last Mimzy, The",9,1928,5/18/07
24,"Last Mimzy, The",10,1488,5/25/07
