subject_id,variable,value
322,education,4.0
324,education,4.0
328,education,1.0
329,education,2.0
330,education,3.0
332,education,2.0
334,education,3.0
335,education,2.0
336,education,3.0
337,education,1.0
338,education,2.0
339,education,3.0
341,education,3.0
343,education,2.0
345,education,3.0
347,education,3.0
349,education,2.0
353,education,2.0
356,education,1.0
361,education,2.0
362,education,3.0
363,education,2.0
365,education,4.0
367,education,4.0
368,education,1.0
370,education,4.0
371,education,3.0
377,education,2.0
378,education,2.0
381,education,1.0
383,education,2.0
387,education,4.0
388,education,3.0
391,education,4.0
392,education,4.0
395,education,2.0
396,education,2.0
403,education,1.0
411,education,3.0
415,education,4.0
416,education,2.0
419,education,2.0
422,education,2.0
424,education,2.0
425,education,1.0
426,education,3.0
427,education,2.0
428,education,1.0
433,education,2.0
434,education,2.0
437,education,1.0
438,education,1.0
440,education,2.0
441,education,1.0
442,education,1.0
444,education,3.0
445,education,2.0
449,education,4.0
451,education,2.0
452,education,4.0
453,education,1.0
455,education,3.0
457,education,2.0
458,education,3.0
459,education,2.0
460,education,3.0
462,education,3.0
464,education,4.0
466,education,1.0
467,education,2.0
468,education,2.0
469,education,2.0
470,education,2.0
471,education,4.0
476,education,2.0
477,education,4.0
478,education,1.0
480,education,1.0
481,education,2.0
482,education,3.0
486,education,2.0
488,education,2.0
489,education,2.0
492,education,1.0
493,education,3.0
495,education,2.0
498,education,3.0
500,education,3.0
501,education,2.0
505,education,3.0
510,education,3.0
513,education,2.0
515,education,2.0
516,education,2.0
518,education,1.0
520,education,4.0
521,education,3.0
524,education,1.0
527,education,1.0
529,education,1.0
530,education,3.0
531,education,2.0
533,education,2.0
534,education,2.0
535,education,2.0
536,education,2.0
537,education,3.0
538,education,4.0
540,education,3.0
541,education,2.0
542,education,2.0
543,education,4.0
545,education,4.0
546,education,3.0
547,education,2.0
551,education,3.0
552,education,1.0
555,education,2.0
558,education,2.0
559,education,2.0
561,education,2.0
562,education,2.0
564,education,2.0
566,education,2.0
567,education,2.0
569,education,3.0
570,education,2.0
572,education,3.0
575,education,4.0
576,education,1.0
578,education,2.0
580,education,2.0
583,education,1.0
584,education,4.0
585,education,4.0
586,education,2.0
587,education,2.0
588,education,2.0
589,education,2.0
590,education,1.0
591,education,4.0
592,education,3.0
593,education,3.0
594,education,1.0
595,education,2.0
596,education,1.0
597,education,1.0
598,education,2.0
601,education,3.0
602,education,3.0
603,education,3.0
604,education,1.0
605,education,1.0
614,education,2.0
616,education,2.0
618,education,2.0
619,education,3.0
622,education,4.0
624,education,4.0
627,education,3.0
629,education,1.0
635,education,3.0
636,education,1.0
637,education,0.0
638,education,2.0
639,education,2.0
640,education,2.0
641,education,3.0
644,education,3.0
646,education,2.0
649,education,2.0
650,education,2.0
651,education,2.0
652,education,3.0
656,education,2.0
658,education,2.0
661,education,2.0
665,education,2.0
666,education,2.0
671,education,3.0
674,education,3.0
675,education,3.0
676,education,2.0
677,education,2.0
678,education,2.0
680,education,1.0
686,education,2.0
687,education,3.0
689,education,4.0
691,education,3.0
693,education,2.0
696,education,2.0
697,education,2.0
700,education,4.0
703,education,3.0
704,education,3.0
706,education,1.0
707,education,1.0
708,education,3.0
710,education,2.0
711,education,3.0
712,education,2.0
714,education,2.0
722,education,1.0
723,education,2.0
724,education,2.0
730,education,3.0
732,education,3.0
735,education,2.0
736,education,2.0
740,education,1.0
742,education,2.0
743,education,2.0
746,education,2.0
747,education,2.0
752,education,1.0
753,education,2.0
754,education,2.0
758,education,3.0
759,education,2.0
760,education,2.0
763,education,2.0
765,education,2.0
770,education,1.0
773,education,2.0
774,education,2.0
777,education,2.0
781,education,1.0
787,education,2.0
790,education,2.0
791,education,2.0
793,education,2.0
794,education,3.0
796,education,4.0
800,education,2.0
802,education,3.0
803,education,3.0
805,education,1.0
806,education,1.0
808,education,3.0
809,education,1.0
811,education,3.0
812,education,2.0
814,education,4.0
816,education,4.0
817,education,3.0
821,education,2.0
823,education,1.0
826,education,2.0
830,education,2.0
835,education,1.0
836,education,2.0
837,education,2.0
838,education,3.0
840,education,3.0
842,education,2.0
844,education,2.0
846,education,2.0
849,education,2.0
852,education,2.0
857,education,3.0
858,education,4.0
859,education,0.0
861,education,3.0
862,education,2.0
864,education,2.0
865,education,2.0
868,education,2.0
870,education,2.0
877,education,2.0
880,education,3.0
881,education,0.0
882,education,2.0
883,education,3.0
884,education,3.0
885,education,3.0
886,education,3.0
888,education,2.0
893,education,2.0
896,education,2.0
897,education,4.0
898,education,3.0
899,education,2.0
900,education,2.0
904,education,4.0
909,education,2.0
910,education,1.0
912,education,3.0
915,education,3.0
916,education,1.0
917,education,1.0
921,education,2.0
924,education,1.0
925,education,2.0
931,education,3.0
932,education,1.0
934,education,2.0
936,education,1.0
937,education,3.0
939,education,4.0
940,education,1.0
942,education,4.0
943,education,1.0
944,education,3.0
945,education,4.0
948,education,3.0
951,education,2.0
955,education,1.0
956,education,2.0
957,education,3.0
959,education,2.0
960,education,4.0
961,education,1.0
962,education,2.0
966,education,2.0
968,education,2.0
971,education,4.0
972,education,2.0
974,education,4.0
975,education,0.0
976,education,3.0
977,education,3.0
980,education,3.0
982,education,1.0
984,education,2.0
985,education,2.0
990,education,1.0
993,education,2.0
995,education,3.0
996,education,1.0
998,education,0.0
1000,education,2.0
1003,education,2.0
1004,education,2.0
1005,education,1.0
1006,education,2.0
1008,education,1.0
1009,education,3.0
1010,education,2.0
1013,education,1.0
1016,education,2.0
1020,education,2.0
1021,education,2.0
1022,education,3.0
1024,education,3.0
1025,education,2.0
1026,education,3.0
1027,education,2.0
1029,education,3.0
1030,education,4.0
1032,education,2.0
1033,education,1.0
1034,education,2.0
1035,education,2.0
1036,education,2.0
1040,education,4.0
1045,education,2.0
1046,education,2.0
1047,education,2.0
1048,education,2.0
1050,education,2.0
1052,education,2.0
1054,education,3.0
1055,education,3.0
1056,education,1.0
1060,education,2.0
1061,education,1.0
1062,education,3.0
1063,education,3.0
1064,education,3.0
1065,education,2.0
1066,education,2.0
1067,education,3.0
1068,education,3.0
1072,education,3.0
1074,education,3.0
1077,education,2.0
1078,education,2.0
1079,education,3.0
1080,education,3.0
1081,education,3.0
1082,education,1.0
1083,education,4.0
1086,education,2.0
1087,education,3.0
1088,education,1.0
1089,education,2.0
1091,education,2.0
1092,education,2.0
1093,education,2.0
1096,education,2.0
1097,education,4.0
1098,education,2.0
1099,education,3.0
1101,education,3.0
1104,education,2.0
1106,education,2.0
1107,education,3.0
1108,education,3.0
1110,education,4.0
1111,education,4.0
1112,education,4.0
1116,education,2.0
1117,education,3.0
1119,education,4.0
1121,education,2.0
1124,education,2.0
1125,education,4.0
1127,education,3.0
1128,education,4.0
1129,education,4.0
1130,education,1.0
1132,education,1.0
1133,education,3.0
1135,education,4.0
1136,education,1.0
1137,education,4.0
1138,education,2.0
1140,education,3.0
1141,education,2.0
1143,education,3.0
1149,education,4.0
1150,education,2.0
1156,education,4.0
1157,education,3.0
1160,education,2.0
1162,education,4.0
1163,education,2.0
1164,education,3.0
1165,education,4.0
1166,education,3.0
1168,education,1.0
1170,education,4.0
1171,education,4.0
1173,education,2.0
1175,education,4.0
1176,education,3.0
1177,education,2.0
1180,education,1.0
1183,education,2.0
1185,education,3.0
1186,education,2.0
1187,education,3.0
1189,education,4.0
1190,education,4.0
1195,education,4.0
1196,education,3.0
1198,education,3.0
1200,education,2.0
1202,education,2.0
1203,education,4.0
1205,education,4.0
1210,education,4.0
1213,education,3.0
1214,education,2.0
1215,education,4.0
1217,education,4.0
1218,education,4.0
1221,education,4.0
1225,education,2.0
1228,education,2.0
1229,education,3.0
1230,education,1.0
1232,education,2.0
1235,education,3.0
1236,education,4.0
1239,education,4.0
1242,education,4.0
1243,education,4.0
1245,education,4.0
1248,education,4.0
1250,education,4.0
1253,education,3.0
1254,education,3.0
1255,education,2.0
1261,education,3.0
1263,education,2.0
1264,education,3.0
1265,education,3.0
1266,education,4.0
1269,education,2.0
1270,education,4.0
1271,education,4.0
1273,education,3.0
1274,education,2.0
1275,education,4.0
1278,education,3.0
1279,education,2.0
1284,education,4.0
1285,education,2.0
1290,education,1.0
1291,education,3.0
1299,education,2.0
1302,education,2.0
1303,education,1.0
1304,education,3.0
1306,education,4.0
1311,education,4.0
1312,education,3.0
1313,education,3.0
1314,education,3.0
1319,education,1.0
1320,education,4.0
1321,education,2.0
1323,education,2.0
1325,education,3.0
1327,education,1.0
1333,education,2.0
1334,education,3.0
1335,education,4.0
1338,education,4.0
1339,education,2.0
1341,education,2.0
1344,education,2.0
1350,education,2.0
1353,education,2.0
1354,education,3.0
1356,education,3.0
1357,education,2.0
1358,education,2.0
1359,education,4.0
1360,education,3.0
1361,education,0.0
1362,education,2.0
1363,education,3.0
1364,education,4.0
1366,education,2.0
1368,education,3.0
1370,education,3.0
1373,education,4.0
1375,education,2.0
1378,education,3.0
1381,education,3.0
1383,education,1.0
1385,education,3.0
1386,education,2.0
1388,education,2.0
1389,education,3.0
1390,education,3.0
1,urban,2.0
2,urban,1.0
5,urban,3.0
6,urban,2.0
7,urban,2.0
8,urban,2.0
9,urban,2.0
10,urban,1.0
14,urban,1.0
15,urban,2.0
19,urban,2.0
22,urban,3.0
26,urban,2.0
27,urban,2.0
29,urban,3.0
36,urban,3.0
38,urban,3.0
39,urban,2.0
42,urban,3.0
44,urban,2.0
45,urban,2.0
46,urban,3.0
47,urban,3.0
48,urban,2.0
49,urban,2.0
50,urban,2.0
53,urban,2.0
54,urban,1.0
55,urban,3.0
56,urban,2.0
57,urban,3.0
58,urban,2.0
61,urban,2.0
62,urban,2.0
65,urban,0.0
66,urban,2.0
69,urban,3.0
70,urban,1.0
71,urban,1.0
72,urban,2.0
75,urban,2.0
76,urban,3.0
77,urban,2.0
79,urban,2.0
84,urban,2.0
85,urban,3.0
89,urban,3.0
91,urban,2.0
93,urban,1.0
95,urban,2.0
96,urban,1.0
97,urban,1.0
98,urban,2.0
103,urban,3.0
104,urban,2.0
105,urban,3.0
107,urban,3.0
108,urban,2.0
110,urban,2.0
114,urban,1.0
115,urban,2.0
118,urban,3.0
119,urban,3.0
125,urban,2.0
126,urban,2.0
128,urban,3.0
132,urban,2.0
135,urban,2.0
136,urban,1.0
140,urban,2.0
142,urban,3.0
144,urban,2.0
148,urban,2.0
149,urban,3.0
152,urban,3.0
153,urban,2.0
154,urban,3.0
155,urban,2.0
156,urban,1.0
157,urban,3.0
159,urban,3.0
161,urban,3.0
163,urban,3.0
164,urban,1.0
166,urban,1.0
167,urban,1.0
168,urban,2.0
169,urban,3.0
172,urban,1.0
175,urban,3.0
180,urban,2.0
182,urban,1.0
183,urban,2.0
188,urban,3.0
190,urban,2.0
193,urban,3.0
194,urban,3.0
202,urban,2.0
203,urban,1.0
204,urban,1.0
205,urban,2.0
206,urban,2.0
207,urban,1.0
209,urban,3.0
211,urban,3.0
212,urban,1.0
213,urban,1.0
215,urban,3.0
216,urban,3.0
219,urban,1.0
220,urban,2.0
222,urban,2.0
223,urban,3.0
224,urban,3.0
229,urban,2.0
230,urban,2.0
231,urban,1.0
237,urban,3.0
239,urban,2.0
240,urban,2.0
241,urban,2.0
243,urban,1.0
244,urban,3.0
247,urban,3.0
248,urban,3.0
253,urban,3.0
256,urban,3.0
257,urban,3.0
262,urban,2.0
263,urban,2.0
264,urban,2.0
266,urban,1.0
267,urban,3.0
268,urban,1.0
269,urban,3.0
275,urban,1.0
276,urban,3.0
277,urban,3.0
279,urban,2.0
280,urban,1.0
281,urban,2.0
283,urban,1.0
285,urban,3.0
286,urban,3.0
289,urban,3.0
290,urban,1.0
292,urban,2.0
293,urban,2.0
294,urban,3.0
295,urban,1.0
299,urban,2.0
300,urban,3.0
302,urban,1.0
303,urban,2.0
304,urban,2.0
305,urban,2.0
307,urban,2.0
309,urban,1.0
310,urban,2.0
311,urban,2.0
320,urban,2.0
322,urban,2.0
324,urban,3.0
328,urban,3.0
329,urban,2.0
330,urban,3.0
332,urban,1.0
334,urban,2.0
335,urban,2.0
336,urban,1.0
337,urban,2.0
338,urban,1.0
339,urban,3.0
341,urban,2.0
343,urban,2.0
345,urban,1.0
347,urban,2.0
349,urban,1.0
353,urban,2.0
356,urban,3.0
361,urban,2.0
362,urban,1.0
363,urban,3.0
365,urban,2.0
367,urban,2.0
368,urban,2.0
370,urban,2.0
371,urban,3.0
377,urban,3.0
378,urban,2.0
381,urban,2.0
383,urban,3.0
387,urban,2.0
388,urban,2.0
391,urban,3.0
392,urban,2.0
395,urban,3.0
396,urban,1.0
403,urban,2.0
411,urban,1.0
415,urban,2.0
416,urban,2.0
419,urban,3.0
422,urban,2.0
424,urban,1.0
425,urban,3.0
426,urban,2.0
427,urban,3.0
428,urban,3.0
433,urban,1.0
434,urban,3.0
437,urban,3.0
438,urban,1.0
440,urban,1.0
441,urban,1.0
442,urban,2.0
444,urban,2.0
445,urban,2.0
449,urban,1.0
451,urban,3.0
452,urban,1.0
453,urban,3.0
455,urban,1.0
457,urban,3.0
458,urban,2.0
459,urban,2.0
460,urban,2.0
462,urban,3.0
464,urban,3.0
466,urban,2.0
467,urban,3.0
468,urban,2.0
469,urban,2.0
470,urban,1.0
471,urban,3.0
476,urban,3.0
477,urban,2.0
478,urban,3.0
480,urban,1.0
481,urban,2.0
482,urban,3.0
486,urban,2.0
488,urban,3.0
489,urban,2.0
492,urban,2.0
493,urban,3.0
495,urban,2.0
498,urban,2.0
500,urban,2.0
501,urban,3.0
505,urban,1.0
510,urban,3.0
513,urban,2.0
515,urban,3.0
516,urban,3.0
518,urban,2.0
520,urban,2.0
521,urban,2.0
524,urban,3.0
527,urban,1.0
529,urban,3.0
530,urban,3.0
531,urban,2.0
533,urban,2.0
534,urban,2.0
535,urban,2.0
536,urban,1.0
537,urban,1.0
538,urban,1.0
540,urban,3.0
541,urban,2.0
542,urban,2.0
543,urban,2.0
545,urban,2.0
546,urban,3.0
547,urban,2.0
551,urban,2.0
552,urban,2.0
555,urban,2.0
558,urban,2.0
559,urban,2.0
561,urban,3.0
562,urban,2.0
564,urban,3.0
566,urban,1.0
567,urban,3.0
569,urban,1.0
570,urban,3.0
572,urban,3.0
575,urban,3.0
576,urban,1.0
578,urban,3.0
580,urban,1.0
583,urban,2.0
584,urban,3.0
585,urban,2.0
586,urban,1.0
587,urban,1.0
588,urban,3.0
589,urban,1.0
590,urban,3.0
591,urban,1.0
592,urban,3.0
593,urban,3.0
594,urban,1.0
595,urban,2.0
596,urban,2.0
597,urban,3.0
598,urban,1.0
601,urban,2.0
602,urban,3.0
603,urban,2.0
604,urban,2.0
605,urban,1.0
614,urban,2.0
616,urban,1.0
618,urban,2.0
619,urban,3.0
622,urban,1.0
624,urban,2.0
627,urban,2.0
629,urban,3.0
635,urban,2.0
636,urban,2.0
637,urban,3.0
638,urban,1.0
639,urban,2.0
640,urban,2.0
641,urban,2.0
644,urban,2.0
646,urban,3.0
649,urban,2.0
650,urban,3.0
651,urban,1.0
652,urban,3.0
656,urban,3.0
658,urban,2.0
661,urban,2.0
665,urban,3.0
666,urban,3.0
671,urban,2.0
674,urban,1.0
675,urban,1.0
676,urban,3.0
677,urban,3.0
678,urban,3.0
680,urban,2.0
686,urban,3.0
687,urban,2.0
689,urban,1.0
691,urban,3.0
693,urban,2.0
696,urban,3.0
697,urban,2.0
700,urban,3.0
703,urban,1.0
704,urban,1.0
706,urban,2.0
707,urban,1.0
708,urban,2.0
710,urban,1.0
711,urban,0.0
712,urban,2.0
714,urban,1.0
722,urban,3.0
723,urban,2.0
724,urban,1.0
730,urban,1.0
732,urban,3.0
735,urban,3.0
736,urban,2.0
740,urban,1.0
742,urban,3.0
743,urban,2.0
746,urban,2.0
747,urban,3.0
752,urban,2.0
753,urban,2.0
754,urban,3.0
758,urban,2.0
759,urban,3.0
760,urban,3.0
763,urban,2.0
765,urban,3.0
770,urban,3.0
773,urban,2.0
774,urban,3.0
777,urban,3.0
781,urban,3.0
787,urban,3.0
790,urban,2.0
791,urban,2.0
793,urban,2.0
794,urban,2.0
796,urban,1.0
800,urban,2.0
802,urban,1.0
803,urban,2.0
805,urban,2.0
806,urban,2.0
808,urban,2.0
809,urban,2.0
811,urban,1.0
812,urban,1.0
814,urban,1.0
816,urban,2.0
817,urban,3.0
821,urban,2.0
823,urban,1.0
826,urban,2.0
830,urban,2.0
835,urban,2.0
836,urban,3.0
837,urban,3.0
838,urban,2.0
840,urban,2.0
842,urban,2.0
844,urban,2.0
846,urban,3.0
849,urban,2.0
852,urban,1.0
857,urban,2.0
858,urban,2.0
859,urban,2.0
861,urban,2.0
862,urban,2.0
864,urban,2.0
865,urban,2.0
868,urban,2.0
870,urban,3.0
877,urban,3.0
880,urban,1.0
881,urban,3.0
882,urban,3.0
883,urban,2.0
884,urban,2.0
885,urban,2.0
886,urban,3.0
888,urban,2.0
893,urban,2.0
896,urban,2.0
897,urban,2.0
898,urban,2.0
899,urban,2.0
900,urban,3.0
904,urban,2.0
909,urban,1.0
910,urban,1.0
912,urban,3.0
915,urban,2.0
916,urban,3.0
917,urban,2.0
921,urban,2.0
924,urban,3.0
925,urban,2.0
931,urban,1.0
932,urban,1.0
934,urban,1.0
936,urban,2.0
937,urban,2.0
939,urban,3.0
940,urban,2.0
942,urban,3.0
943,urban,3.0
944,urban,2.0
945,urban,3.0
948,urban,3.0
951,urban,2.0
955,urban,2.0
956,urban,2.0
957,urban,2.0
959,urban,3.0
960,urban,3.0
961,urban,3.0
962,urban,2.0
966,urban,3.0
968,urban,3.0
971,urban,3.0
972,urban,3.0
974,urban,3.0
975,urban,1.0
976,urban,1.0
977,urban,2.0
980,urban,2.0
982,urban,2.0
984,urban,2.0
985,urban,3.0
990,urban,1.0
993,urban,1.0
995,urban,2.0
996,urban,3.0
998,urban,2.0
1000,urban,3.0
1003,urban,1.0
1004,urban,2.0
1005,urban,3.0
1006,urban,1.0
1008,urban,2.0
1009,urban,2.0
1010,urban,3.0
1013,urban,2.0
1016,urban,3.0
1020,urban,2.0
1021,urban,2.0
1022,urban,2.0
1024,urban,2.0
1025,urban,3.0
1026,urban,3.0
1027,urban,1.0
1029,urban,2.0
1030,urban,2.0
1032,urban,3.0
1033,urban,2.0
1034,urban,3.0
1035,urban,2.0
1036,urban,2.0
1040,urban,2.0
1045,urban,2.0
1046,urban,3.0
1047,urban,1.0
1048,urban,2.0
1050,urban,2.0
1052,urban,1.0
1054,urban,3.0
1055,urban,1.0
1056,urban,3.0
1060,urban,1.0
1061,urban,2.0
1062,urban,1.0
1063,urban,1.0
1064,urban,3.0
1065,urban,2.0
1066,urban,3.0
1067,urban,1.0
1068,urban,2.0
1072,urban,1.0
1074,urban,3.0
1077,urban,2.0
1078,urban,1.0
1079,urban,1.0
1080,urban,3.0
1081,urban,3.0
1082,urban,3.0
1083,urban,3.0
1086,urban,3.0
1087,urban,2.0
1088,urban,2.0
1089,urban,3.0
1091,urban,2.0
1092,urban,2.0
1093,urban,3.0
1096,urban,3.0
1097,urban,3.0
1098,urban,2.0
1099,urban,1.0
1101,urban,2.0
1104,urban,2.0
1106,urban,1.0
1107,urban,1.0
1108,urban,2.0
1110,urban,3.0
1111,urban,3.0
1112,urban,2.0
1116,urban,1.0
1117,urban,2.0
1119,urban,3.0
1121,urban,2.0
1124,urban,1.0
1125,urban,3.0
1127,urban,2.0
1128,urban,2.0
1129,urban,2.0
1130,urban,2.0
1132,urban,2.0
1133,urban,2.0
1135,urban,2.0
1136,urban,2.0
1137,urban,1.0
1138,urban,2.0
1140,urban,2.0
1141,urban,3.0
1143,urban,2.0
1149,urban,3.0
1150,urban,1.0
1156,urban,3.0
1157,urban,1.0
1160,urban,3.0
1162,urban,3.0
1163,urban,2.0
1164,urban,2.0
1165,urban,2.0
1166,urban,3.0
1168,urban,1.0
1170,urban,2.0
1171,urban,1.0
1173,urban,1.0
1175,urban,2.0
1176,urban,2.0
1177,urban,2.0
1180,urban,3.0
1183,urban,3.0
1185,urban,1.0
1186,urban,2.0
1187,urban,2.0
1189,urban,1.0
1190,urban,1.0
1195,urban,1.0
1196,urban,2.0
1198,urban,2.0
1200,urban,2.0
1202,urban,2.0
1203,urban,3.0
1205,urban,2.0
1210,urban,3.0
1213,urban,1.0
1214,urban,2.0
1215,urban,2.0
1217,urban,2.0
1218,urban,2.0
1221,urban,2.0
1225,urban,2.0
1228,urban,2.0
1229,urban,2.0
1230,urban,1.0
1232,urban,2.0
1235,urban,2.0
1236,urban,2.0
1239,urban,1.0
1242,urban,1.0
1243,urban,2.0
1245,urban,2.0
1248,urban,2.0
1250,urban,2.0
1253,urban,2.0
1254,urban,2.0
1255,urban,1.0
1261,urban,3.0
1263,urban,3.0
1264,urban,2.0
1265,urban,1.0
1266,urban,1.0
1269,urban,1.0
1270,urban,2.0
1271,urban,3.0
1273,urban,2.0
1274,urban,3.0
1275,urban,2.0
1278,urban,3.0
1279,urban,2.0
1284,urban,3.0
1285,urban,3.0
1290,urban,3.0
1291,urban,2.0
1299,urban,1.0
1302,urban,1.0
1303,urban,3.0
1304,urban,2.0
1306,urban,3.0
1311,urban,2.0
1312,urban,3.0
1313,urban,2.0
1314,urban,2.0
1319,urban,3.0
1320,urban,2.0
1321,urban,1.0
1323,urban,1.0
1325,urban,1.0
1327,urban,2.0
1333,urban,3.0
1334,urban,3.0
1335,urban,2.0
1338,urban,2.0
1339,urban,3.0
1341,urban,3.0
1344,urban,3.0
1350,urban,2.0
1353,urban,1.0
1354,urban,1.0
1356,urban,1.0
1357,urban,3.0
1358,urban,1.0
1359,urban,3.0
1360,urban,2.0
1361,urban,2.0
1362,urban,1.0
1363,urban,2.0
1364,urban,3.0
1366,urban,3.0
1368,urban,1.0
1370,urban,2.0
1373,urban,3.0
1375,urban,3.0
1378,urban,3.0
1381,urban,3.0
1383,urban,2.0
1385,urban,2.0
1386,urban,3.0
1388,urban,2.0
1389,urban,2.0
1390,urban,2.0
1,gender,2.0
2,gender,2.0
5,gender,1.0
6,gender,1.0
7,gender,2.0
8,gender,2.0
9,gender,3.0
10,gender,3.0
14,gender,1.0
15,gender,2.0
19,gender,2.0
22,gender,2.0
26,gender,1.0
27,gender,1.0
29,gender,1.0
36,gender,1.0
38,gender,1.0
39,gender,2.0
42,gender,2.0
44,gender,2.0
45,gender,2.0
46,gender,2.0
47,gender,1.0
48,gender,3.0
49,gender,2.0
50,gender,2.0
53,gender,1.0
54,gender,2.0
55,gender,1.0
56,gender,1.0
57,gender,1.0
58,gender,2.0
61,gender,2.0
62,gender,1.0
65,gender,1.0
66,gender,1.0
69,gender,1.0
70,gender,2.0
71,gender,1.0
72,gender,2.0
75,gender,1.0
76,gender,1.0
77,gender,2.0
79,gender,2.0
84,gender,1.0
85,gender,1.0
89,gender,2.0
91,gender,1.0
93,gender,1.0
95,gender,2.0
96,gender,1.0
97,gender,2.0
98,gender,2.0
103,gender,2.0
104,gender,3.0
105,gender,2.0
107,gender,2.0
108,gender,1.0
110,gender,1.0
114,gender,1.0
115,gender,2.0
118,gender,1.0
119,gender,1.0
125,gender,3.0
126,gender,2.0
128,gender,1.0
132,gender,2.0
135,gender,2.0
136,gender,1.0
140,gender,2.0
142,gender,2.0
144,gender,1.0
148,gender,2.0
149,gender,1.0
152,gender,2.0
153,gender,2.0
154,gender,2.0
155,gender,1.0
156,gender,2.0
157,gender,1.0
159,gender,2.0
161,gender,1.0
163,gender,2.0
164,gender,2.0
166,gender,1.0
167,gender,1.0
168,gender,2.0
169,gender,2.0
172,gender,2.0
175,gender,1.0
180,gender,1.0
182,gender,3.0
183,gender,1.0
188,gender,1.0
190,gender,2.0
193,gender,1.0
194,gender,2.0
202,gender,1.0
203,gender,1.0
204,gender,2.0
205,gender,1.0
206,gender,2.0
207,gender,2.0
209,gender,1.0
211,gender,2.0
212,gender,1.0
213,gender,3.0
215,gender,2.0
216,gender,1.0
219,gender,2.0
220,gender,2.0
222,gender,1.0
223,gender,2.0
224,gender,1.0
229,gender,2.0
230,gender,2.0
231,gender,2.0
237,gender,2.0
239,gender,1.0
240,gender,1.0
241,gender,1.0
243,gender,1.0
244,gender,2.0
247,gender,2.0
248,gender,2.0
253,gender,2.0
256,gender,1.0
257,gender,2.0
262,gender,2.0
263,gender,2.0
264,gender,1.0
266,gender,2.0
267,gender,1.0
268,gender,2.0
269,gender,2.0
275,gender,2.0
276,gender,3.0
277,gender,3.0
279,gender,1.0
280,gender,1.0
281,gender,1.0
283,gender,2.0
285,gender,2.0
286,gender,1.0
289,gender,1.0
290,gender,2.0
292,gender,1.0
293,gender,2.0
294,gender,1.0
295,gender,3.0
299,gender,2.0
300,gender,2.0
302,gender,2.0
303,gender,1.0
304,gender,1.0
305,gender,2.0
307,gender,1.0
309,gender,2.0
310,gender,1.0
311,gender,1.0
320,gender,1.0
322,gender,1.0
324,gender,1.0
328,gender,3.0
329,gender,1.0
330,gender,2.0
332,gender,1.0
334,gender,1.0
335,gender,2.0
336,gender,1.0
337,gender,2.0
338,gender,1.0
339,gender,2.0
341,gender,1.0
343,gender,1.0
345,gender,2.0
347,gender,1.0
349,gender,2.0
353,gender,2.0
356,gender,2.0
361,gender,1.0
362,gender,2.0
363,gender,1.0
365,gender,2.0
