race_white,race_nerdy,race_native_american,writing_novel,read_tech_reports,online_over_inperson,introspective,hobbies_over_people,books_over_parties,bookish,libraries_over_publicspace,race_native_austrailian,like_hard_material,race_hispanic,diagnosed_autistic,play_many_videogames,race_arab,race_asian,interested_science,playes_rpgs,in_advanced_classes,collect_books,intelligence_over_appearance,watch_science_shows,academic_over_social,like_science_fiction,like_dry_topics,race_black,calm,disorganized,extraverted,dependable,critical,opennness,anxious,sympathetic,reserved,conventional,was_odd_child,prefer_fictional_people,enjoy_learning,excited_about_research,strange_person,like_superheroes,socially_awkward,subject_id
1.0,0.0,0.0,1.0,3.0,4.0,5.0,4.0,5.0,4.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,5.0,0.0,3.0,4.0,2.0,7.0,1.0,5.0,6.0,7.0,6.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,11
1.0,0.0,0.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,0.0,7.0,3.0,4.0,6.0,6.0,6.0,1.0,3.0,6.0,2.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,12
0.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,6.0,6.0,3.0,7.0,5.0,7.0,7.0,7.0,3.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,13
1.0,0.0,0.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,14
1.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,0.0,5.0,6.0,1.0,6.0,1.0,3.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0,3.0,4.0,5.0,3.0,15
0.0,1.0,0.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,0.0,2.0,7.0,1.0,6.0,3.0,3.0,2.0,7.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,16
0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,4.0,0.0,7.0,2.0,2.0,5.0,4.0,5.0,2.0,5.0,7.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,17
1.0,0.0,0.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,4.0,1.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,5.0,0.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,6.0,7.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,3.0,18
1.0,0.0,0.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,0.0,3.0,5.0,1.0,4.0,6.0,2.0,6.0,3.0,6.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,19
1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,5.0,1.0,3.0,6.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,20
1.0,0.0,0.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,0.0,6.0,2.0,1.0,7.0,1.0,6.0,5.0,7.0,7.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,21
1.0,0.0,0.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,0.0,7.0,2.0,1.0,6.0,2.0,5.0,1.0,5.0,7.0,6.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,22
1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,7.0,2.0,2.0,4.0,7.0,7.0,7.0,1.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23
1.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,1.0,5.0,3.0,3.0,5.0,6.0,7.0,6.0,5.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,5.0,24
0.0,1.0,0.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,6.0,2.0,2.0,6.0,6.0,6.0,2.0,4.0,6.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,25
1.0,0.0,0.0,4.0,2.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,0.0,1.0,6.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,1.0,5.0,26
1.0,0.0,0.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,0.0,6.0,1.0,1.0,6.0,5.0,4.0,3.0,2.0,6.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,27
1.0,0.0,0.0,1.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,0.0,6.0,5.0,2.0,3.0,6.0,6.0,2.0,5.0,7.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,28
1.0,0.0,0.0,5.0,2.0,3.0,1.0,5.0,4.0,3.0,4.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,4.0,5.0,6.0,6.0,4.0,6.0,4.0,7.0,6.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,29
0.0,1.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,0.0,3.0,5.0,5.0,6.0,5.0,6.0,2.0,3.0,5.0,1.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,30
1.0,0.0,0.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,6.0,7.0,5.0,7.0,5.0,7.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,31
1.0,0.0,0.0,1.0,3.0,5.0,4.0,1.0,5.0,4.0,4.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,0.0,2.0,3.0,2.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,32
0.0,0.0,0.0,2.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,4.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,0.0,6.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,33
0.0,0.0,0.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,0.0,7.0,6.0,2.0,7.0,6.0,7.0,2.0,3.0,6.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,34
1.0,0.0,0.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,0.0,6.0,5.0,3.0,6.0,5.0,7.0,4.0,5.0,6.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,35
1.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,0.0,7.0,6.0,5.0,6.0,1.0,6.0,1.0,3.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,4.0,5.0,36
0.0,0.0,0.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,0.0,1.0,7.0,6.0,5.0,7.0,6.0,7.0,2.0,4.0,2.0,3.0,5.0,1.0,4.0,4.0,1.0,4.0,37
1.0,0.0,0.0,1.0,5.0,3.0,5.0,4.0,3.0,5.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,0.0,3.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,38
0.0,0.0,0.0,4.0,3.0,5.0,5.0,2.0,3.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,0.0,2.0,2.0,3.0,5.0,7.0,4.0,5.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,39
1.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,2.0,0.0,5.0,2.0,6.0,7.0,4.0,7.0,3.0,6.0,6.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,40
1.0,0.0,0.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,0.0,2.0,7.0,1.0,1.0,5.0,5.0,6.0,7.0,7.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,41
0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,5.0,4.0,3.0,4.0,5.0,1.0,3.0,4.0,0.0,7.0,6.0,2.0,5.0,5.0,6.0,5.0,6.0,7.0,1.0,3.0,1.0,1.0,5.0,4.0,2.0,2.0,42
0.0,0.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,0.0,3.0,6.0,5.0,6.0,2.0,7.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,43
0.0,1.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0.0,1.0,5.0,7.0,6.0,7.0,4.0,7.0,6.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,44
1.0,0.0,0.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,4.0,5.0,0.0,2.0,6.0,4.0,5.0,6.0,5.0,7.0,3.0,1.0,6.0,2.0,5.0,1.0,3.0,2.0,3.0,2.0,45
1.0,0.0,0.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,0.0,5.0,3.0,6.0,6.0,2.0,7.0,2.0,7.0,1.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,4.0,46
1.0,0.0,0.0,5.0,5.0,2.0,1.0,4.0,2.0,5.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,0.0,4.0,5.0,6.0,7.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,5.0,47
1.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,1.0,7.0,4.0,1.0,6.0,6.0,7.0,3.0,2.0,1.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,48
1.0,0.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,4.0,5.0,2.0,5.0,4.0,3.0,2.0,2.0,5.0,0.0,5.0,5.0,2.0,4.0,5.0,3.0,6.0,3.0,7.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,3.0,49
1.0,0.0,0.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,3.0,6.0,6.0,2.0,1.0,7.0,1.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,50
1.0,0.0,0.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,0.0,2.0,2.0,1.0,6.0,5.0,5.0,7.0,4.0,7.0,5.0,2.0,4.0,1.0,2.0,5.0,2.0,5.0,51
1.0,0.0,1.0,4.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,4.0,0.0,1.0,7.0,6.0,2.0,6.0,7.0,6.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,52
1.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,4.0,3.0,5.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,0.0,6.0,5.0,2.0,6.0,2.0,6.0,2.0,6.0,6.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,53
1.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,3.0,5.0,2.0,2.0,1.0,5.0,2.0,3.0,2.0,0.0,6.0,3.0,3.0,6.0,5.0,5.0,4.0,6.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,54
1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,2.0,3.0,2.0,6.0,6.0,5.0,5.0,5.0,6.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,55
1.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,6.0,3.0,1.0,6.0,3.0,6.0,2.0,5.0,7.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,56
1.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,0.0,6.0,3.0,5.0,6.0,6.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,1.0,57
1.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,0.0,0.0,6.0,6.0,3.0,6.0,5.0,6.0,2.0,4.0,6.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,58
1.0,0.0,0.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,0.0,6.0,1.0,5.0,7.0,2.0,5.0,2.0,6.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,59
0.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,5.0,5.0,2.0,0.0,5.0,0.0,2.0,4.0,0.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,6.0,3.0,3.0,3.0,6.0,6.0,3.0,1.0,7.0,2.0,5.0,1.0,3.0,2.0,5.0,5.0,2.0,60
1.0,0.0,0.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,0.0,1.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,2.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,4.0,61
0.0,0.0,0.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,0.0,5.0,0.0,2.0,5.0,0.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,0.0,4.0,2.0,1.0,7.0,4.0,7.0,5.0,6.0,7.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,62
1.0,0.0,0.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,0.0,6.0,2.0,5.0,7.0,1.0,6.0,5.0,6.0,6.0,1.0,4.0,5.0,1.0,3.0,5.0,2.0,2.0,63
1.0,0.0,0.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,1.0,3.0,7.0,1.0,6.0,2.0,6.0,6.0,5.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,64
0.0,0.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,5.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,0.0,5.0,4.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,65
1.0,0.0,0.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,4.0,0.0,5.0,1.0,2.0,5.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,0.0,6.0,7.0,2.0,4.0,6.0,5.0,6.0,2.0,6.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,66
0.0,0.0,0.0,4.0,5.0,0.0,3.0,5.0,4.0,5.0,5.0,0.0,5.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,7.0,5.0,7.0,3.0,2.0,7.0,1.0,6.0,4.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,67
1.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,1.0,5.0,3.0,3.0,4.0,0.0,4.0,1.0,4.0,4.0,7.0,7.0,4.0,6.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,68
1.0,0.0,1.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,0.0,2.0,2.0,6.0,7.0,6.0,7.0,2.0,5.0,6.0,5.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,69
1.0,0.0,0.0,4.0,2.0,3.0,2.0,4.0,5.0,1.0,4.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,5.0,6.0,5.0,2.0,3.0,7.0,6.0,7.0,6.0,2.0,5.0,5.0,1.0,5.0,4.0,2.0,4.0,70
1.0,0.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0,5.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,0.0,7.0,5.0,6.0,5.0,2.0,6.0,2.0,6.0,6.0,6.0,3.0,1.0,4.0,2.0,3.0,5.0,4.0,71
1.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,72
