Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screenw,screenh,hand,religion,orientation,voted,married,familysize,major,race+AF8-arab,race+AF8-asian,race+AF8-black,race+AF8-white,race+AF8-hispanic,race+AF8-nativeam,race+AF8-nativeau,race+AF8-other,nerdy,ASD
5,4,5,4,4,3,5,3,2,4,1,5,4,4,1,5,5,1,3,3,1,4,5,4,5,5,2,141,311,4,6,6,1,6,6,3,3,7,2,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,3,2,1,1,53,1920,1080,1,3,1,2,2,2,Allied Medical Technology,0,0,0,1,0,0,0,0,6,2
1,5,5,5,5,5,5,5,5,0,5,5,5,5,5,1,5,1,0,0,5,0,5,5,1,5,12,135,261,3,5,7,7,7,3,7,6,6,2,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,4,1,2,2,21,310,431,2,4,4,2,1,2,English,0,1,0,0,0,0,0,0,6,2
3,3,4,1,4,2,4,2,3,3,3,4,1,3,2,5,4,4,5,3,1,1,1,4,4,4,5,59,94,5,6,6,3,6,4,4,5,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,31,1920,1080,2,2,1,2,2,2,information technology,0,0,0,1,0,0,0,0,5,2
3,2,2,2,5,4,5,2,5,5,1,5,2,4,1,2,4,1,3,5,1,1,3,4,5,3,3,105,128,1,1,6,2,3,6,2,6,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,39,1366,768,1,2,1,2,3,1,Digital Media,0,0,0,1,0,0,0,0,2,2
3,5,5,2,4,4,4,5,4,3,5,5,5,4,3,4,4,1,2,4,3,3,5,3,1,4,139,343,135,1,3,6,2,3,5,7,7,2,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,3,2,2,16,1280,1024,1,2,5,2,1,0,psychology,0,0,0,0,0,0,0,1,6,2
4,4,4,4,4,2,5,4,1,3,4,4,3,5,5,4,5,4,5,5,1,1,1,3,3,5,5,116,236,2,4,5,2,5,7,5,2,7,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,1,2,20,640,360,1,10,1,2,1,4,Chemical engineering,0,1,0,0,0,0,0,0,7,2
5,5,5,5,1,4,3,5,3,5,5,5,4,2,5,5,5,4,5,2,4,3,5,4,1,3,3,70,142,1,5,5,5,2,7,6,5,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,24,768,1024,1,6,1,2,1,7,,0,0,0,1,1,0,0,0,6,2
4,4,5,4,4,4,5,5,5,3,2,3,5,4,2,5,4,4,2,5,3,2,4,3,3,4,14,121,136,1,6,4,6,2,6,3,5,3,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,2,15,1920,1080,1,2,2,2,1,2,,0,0,0,1,0,0,0,0,6,1
4,4,4,4,4,4,4,2,4,5,4,4,4,1,1,4,4,5,5,4,2,1,5,4,4,4,2,69,170,3,2,6,5,5,6,5,1,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,2,1,29,1680,1050,1,4,1,2,2,1,Psychology,0,0,0,1,0,0,0,0,6,2
3,4,4,1,4,4,4,2,4,5,4,4,4,5,4,3,5,4,3,4,4,2,5,5,1,4,1,96,109,1,1,7,5,6,7,7,2,6,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,2,1,44,1371,857,1,6,1,1,2,6,Information Technology,0,0,0,1,0,0,0,0,4,2
4,1,5,4,5,5,5,4,3,5,3,4,5,4,2,5,4,5,2,4,1,4,4,2,3,4,12,102,101,1,2,6,1,5,7,5,2,7,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,20,1366,768,1,2,1,2,1,3,chemical engineering,0,0,0,1,1,0,0,0,6,2
5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,373,204,2,7,4,7,7,6,1,2,7,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,2,1,1,2,21,360,640,1,12,1,1,1,1,Computer science,0,0,0,1,0,0,0,0,7,2
5,4,5,5,5,3,5,5,5,5,4,4,1,4,5,4,4,5,5,2,4,1,5,5,2,5,24,179,198,3,5,3,7,6,5,6,5,1,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,1,17,320,401,1,2,2,2,1,5,Business ,0,0,0,1,0,1,0,0,7,2
3,4,4,3,4,4,4,3,4,4,2,4,3,4,2,3,4,3,3,4,2,3,4,3,4,4,2,95,121,2,6,6,2,6,6,4,2,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,41,1440,900,1,2,1,1,1,1,,0,0,0,0,0,0,0,1,5,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,105,332,1,6,5,3,7,7,4,2,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,14,854,534,2,1,2,2,1,9,+ACI-English, science, or psychology+ACI-,0,0,0,1,0,1,0,1,7,1
5,5,4,5,4,4,1,5,4,4,5,1,0,2,4,5,5,5,5,2,5,3,5,4,1,5,2,63,97,5,3,6,6,5,5,3,6,1,2,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,2,1,1,17,360,640,1,1,2,2,1,3,,0,0,0,1,0,0,0,0,5,1
3,5,4,3,4,4,5,4,4,5,2,5,5,4,2,4,5,5,4,4,2,4,5,5,5,5,26,57,98,1,5,6,3,4,6,2,1,6,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,50,1536,960,2,2,1,2,1,2,Math,0,0,0,1,0,0,0,0,6,2
4,5,5,4,3,4,5,5,4,5,5,5,4,5,1,4,3,5,5,5,3,4,5,4,3,4,2,60,91,2,6,3,2,6,7,5,5,6,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,1024,768,1,2,1,2,1,3,,0,0,0,1,0,0,0,0,6,2
5,5,4,5,5,5,5,3,5,4,5,4,3,2,5,1,3,4,5,3,1,3,3,4,4,4,12,175,222,6,4,6,4,6,6,7,5,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,15,1366,768,1,7,1,2,1,4,,0,0,0,1,0,0,0,0,7,1
4,4,4,4,2,3,3,5,4,4,4,3,4,4,4,3,4,5,2,4,5,2,4,4,3,3,580,67,192,5,5,6,2,6,5,3,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,16,1600,900,1,12,5,2,1,3,,0,0,0,0,0,0,0,1,6,2
3,5,5,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5,2,5,5,5,5,5,4,4,3,99,144,1,7,6,7,5,7,5,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,3,1,1,55,600,1024,1,6,1,1,2,2,psychology ,0,0,0,1,0,0,0,0,5,2
5,4,5,5,3,4,5,1,4,5,1,4,4,3,1,4,5,5,4,5,1,1,5,5,5,4,602,84,135,2,5,6,7,6,6,7,3,2,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,2,1,1,34,1696,954,1,9,3,2,1,2,Medicine,0,0,0,1,0,0,0,0,7,2
4,5,2,2,5,4,5,2,4,2,5,4,2,4,2,1,2,4,5,2,1,1,2,4,5,4,4,168,99,7,6,6,5,7,5,7,5,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,1,2,25,320,570,1,10,1,1,1,2,Mathematics ,0,1,0,0,0,0,0,0,5,2
4,4,4,4,5,4,5,5,5,4,4,5,5,5,2,4,5,4,3,5,5,4,5,5,4,5,15,917,360,2,6,7,2,7,6,3,6,7,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,3,2,2,14,768,1024,1,2,5,2,1,3,,0,1,0,0,0,0,0,0,6,2
5,5,3,5,4,4,5,5,5,5,5,4,5,5,2,4,4,4,5,5,5,5,4,5,3,4,6,293,239,3,5,6,4,7,6,5,5,6,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2,1,1,2,17,360,640,1,12,1,2,1,2,,0,0,0,1,0,0,0,0,7,2
5,5,3,3,4,3,4,5,5,5,4,5,4,4,3,3,3,5,5,3,5,1,5,4,4,5,7,1198,173,5,1,6,1,6,5,3,6,7,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,1,1,43,1600,1200,1,2,1,1,1,3,,0,0,0,1,0,0,0,0,3,2
4,4,5,5,3,3,4,5,4,5,4,5,4,2,5,5,4,5,5,3,5,1,4,4,1,4,6,105,89,6,7,5,7,6,4,2,7,1,2,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,3,2,1,15,1440,900,1,7,1,2,1,2,,0,1,0,0,0,0,0,0,5,2
5,5,4,3,2,3,3,5,1,3,4,1,5,5,1,5,3,3,2,5,5,5,5,5,3,2,63,167,220,6,5,6,7,6,5,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,17,357,595,1,4,1,2,1,1,Math,0,0,0,1,0,0,0,0,6,2
4,4,4,4,4,3,1,5,4,3,2,3,5,3,4,5,5,2,3,1,4,2,2,4,4,4,5,94,119,3,7,5,5,4,3,3,2,2,2,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,2,2,2,18,1280,768,1,2,2,2,1,2,,0,0,0,0,1,0,0,0,5,2
5,3,4,5,5,4,5,2,5,5,3,3,3,3,3,3,4,5,3,4,5,4,5,5,3,5,18,157,782,6,4,7,3,7,6,6,2,5,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,2,2,2,2,19,320,480,1,4,1,2,1,2,,0,0,0,1,0,0,0,0,7,1
1,3,3,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,4,3,1,1,3,130,279,7,6,3,5,7,1,7,6,3,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,2,2,2,2,23,414,736,1,4,1,1,1,2,+ACI-Film production, Media+ACI-,0,0,0,1,0,0,0,0,1,2
5,5,5,5,2,5,5,5,2,5,1,5,5,5,2,5,5,4,4,1,5,3,5,5,1,5,5,70,119,1,5,1,6,5,7,7,7,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,24,1280,960,1,1,1,2,1,5,,0,0,0,1,0,0,0,0,5,2
2,4,5,4,3,1,5,4,3,5,1,1,2,2,1,2,3,4,1,3,1,1,5,4,2,2,14,157,212,2,5,5,5,6,7,6,6,7,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,2,16,1366,768,1,1,1,2,1,2,,0,0,0,0,0,0,0,1,2,2
4,4,5,5,4,3,5,5,2,4,4,5,5,3,4,3,5,2,4,2,2,2,4,5,5,3,67,103,188,5,2,6,5,7,3,5,6,3,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,2,24,1366,768,1,12,4,2,1,2,,0,0,0,0,1,0,0,0,5,2
5,5,5,5,5,3,4,5,3,4,5,4,5,3,5,5,5,1,2,3,5,3,5,5,4,3,2,412,154,7,7,6,7,4,5,6,5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2,2,2,1,17,1440,900,1,12,1,2,1,2,,0,0,0,0,0,0,0,1,7,2
5,4,5,5,1,3,1,5,4,3,5,2,5,2,5,5,5,5,5,2,5,1,3,2,3,2,1230,65,86,4,6,5,7,5,1,3,6,2,6,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,2,2,1,15,1920,1080,1,1,2,2,1,2,none,0,0,0,1,0,0,0,0,5,2
1,4,2,2,4,4,5,5,5,3,1,5,3,5,4,3,3,5,4,3,1,1,3,5,5,4,532,84,142,6,2,6,2,7,1,7,3,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,2,37,1376,774,1,2,1,2,1,2,biochemistry,0,0,0,1,0,0,0,0,6,2
4,5,4,3,3,4,5,4,4,2,4,2,5,5,5,1,2,5,5,4,1,1,5,4,4,5,10,96,112,6,3,7,3,5,5,5,5,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,3,1,1,20,1280,1024,1,4,1,2,1,2,Software Engineering,0,0,0,1,0,0,0,0,6,2
5,4,5,5,5,4,3,5,5,5,3,1,4,5,5,5,5,3,5,4,5,2,5,5,2,5,28,73,139,4,6,1,7,6,2,3,7,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,3,1,19,1920,1080,1,2,5,1,1,1,,0,1,0,1,0,0,0,1,7,1
4,2,5,4,5,2,3,5,2,4,5,2,5,4,3,4,5,2,5,4,2,1,4,4,5,3,456,89,282,2,5,4,6,3,7,3,5,5,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,2,2,2,21,1440,900,1,2,1,1,1,1,Art,0,0,0,1,1,0,0,0,5,2
1,5,3,1,5,5,5,2,4,4,3,5,5,5,4,2,1,5,1,4,3,3,5,4,5,4,73,1834,583,6,2,7,6,5,5,7,6,6,5,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,4,2,1,1,66,414,736,1,6,1,1,2,4,+ACI-Psychology, social work+ACI-,0,0,0,1,0,0,0,0,1,2
4,4,3,4,5,4,5,4,4,4,4,4,4,5,2,2,4,4,5,4,1,4,4,4,3,5,506,60,106,6,1,2,1,7,5,5,6,3,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,2,2,1,18,1366,768,3,12,4,2,1,2,,0,0,0,1,0,0,0,0,4,2
5,5,5,5,4,3,5,5,2,5,4,5,5,2,4,4,5,2,4,2,4,1,2,5,2,5,2,98,127,1,5,6,7,5,7,4,2,2,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,20,1920,1080,1,2,2,2,1,2,,0,0,0,1,0,0,0,0,5,2
5,4,4,5,3,3,3,4,1,5,1,4,1,3,4,5,4,2,4,1,4,1,4,5,1,4,8,101,211,6,6,2,6,7,5,1,7,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,1,18,1366,768,1,12,2,2,1,2,,0,0,0,1,0,1,0,0,5,2
5,5,5,5,5,3,4,3,4,4,1,5,3,5,1,3,4,5,2,3,5,2,5,4,4,5,2,98,97,2,2,6,2,6,6,6,5,6,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,2,1,1,56,1920,1080,1,4,1,1,2,2,history,0,0,0,1,0,0,0,0,2,2
3,2,5,1,2,2,5,2,3,3,4,4,3,2,1,2,3,2,5,3,1,1,2,4,2,2,12,169,133,3,5,6,4,5,5,6,3,6,3,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,1,2,2,22,1680,1050,1,1,1,1,1,2,psychology,0,0,0,1,0,0,0,0,3,2
5,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,101,192,2,6,6,5,5,6,5,3,2,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,3,1,1,32,1366,768,3,12,2,2,1,3,Internet Computing,0,0,0,1,0,0,0,0,6,1
4,4,4,4,4,4,5,4,4,5,2,4,4,4,2,4,4,4,2,4,4,4,4,5,4,4,13,89,218,1,3,6,2,6,7,5,3,6,2,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,4,2,1,1,49,1320,825,1,6,1,1,1,3,engineering,0,0,0,1,0,0,0,0,6,2
3,5,4,1,5,3,4,1,4,4,4,4,3,4,1,2,4,4,5,4,1,1,4,5,4,1,25,201,197,5,6,6,2,5,4,3,3,6,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,1,2,14,1920,1080,1,2,1,2,1,2,,0,0,0,1,0,0,0,0,6,2
2,4,3,2,3,4,4,0,3,2,4,4,4,3,1,4,3,4,2,4,5,3,3,4,4,4,1243,87,128,3,5,6,2,6,6,4,6,6,4,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,3,2,2,2,39,1920,1080,1,1,1,1,2,1,psychology,0,0,0,1,0,0,0,0,5,2
3,3,4,4,5,5,5,2,5,4,3,4,3,4,4,3,5,5,3,4,5,4,5,5,2,5,4,81,109,5,2,7,2,5,5,6,1,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,16,1600,900,2,9,2,2,1,2,,0,0,0,1,0,0,0,0,5,2
5,3,5,5,5,5,5,5,4,5,1,2,5,4,2,4,5,5,4,5,1,3,2,5,5,2,1196,111,221,3,6,3,3,6,7,1,3,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,2,2,2,14,1920,1080,1,1,1,2,1,1,,0,1,0,0,0,0,0,0,5,2
5,5,5,5,2,3,3,5,3,5,5,5,2,4,5,3,5,5,5,3,5,1,3,5,1,4,5,855,215,7,6,6,7,6,2,7,7,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,17,768,1024,1,6,1,2,1,3,,0,0,0,1,0,0,0,0,6,2
5,5,5,4,3,1,5,4,3,4,5,3,5,4,3,5,3,5,5,4,4,5,3,5,2,4,2,100,171,1,4,7,5,7,7,6,2,4,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,1,2,14,320,568,3,4,1,2,1,2,,0,1,0,0,0,0,0,0,6,2
4,4,4,5,3,3,4,3,3,4,5,4,3,4,4,3,5,4,4,4,5,1,3,5,2,2,2,132,124,5,1,7,5,6,6,6,2,6,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,2,1,2,1,23,1280,800,1,1,1,1,2,2,,0,0,0,1,0,0,0,0,5,2
4,2,3,3,5,3,5,3,5,5,2,4,5,4,2,5,5,5,4,5,4,4,5,5,2,2,17,196,150,2,4,6,5,6,7,6,2,5,2,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,4,1,2,1,26,1366,768,3,12,1,1,1,3,+ACI-Education, Spanish+ACI-,0,0,0,1,0,0,0,0,5,2
4,2,3,4,5,2,4,4,2,3,1,4,1,3,2,2,4,2,3,3,4,1,2,4,4,3,12,148,213,3,1,7,2,6,6,6,1,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,1,2,1,30,768,1024,1,1,1,2,1,2,Business ,0,0,0,1,0,0,0,0,4,2
5,4,3,3,4,4,5,4,3,4,1,4,5,3,1,4,3,4,1,4,2,4,5,4,3,3,4,123,189,2,5,5,6,5,4,5,4,5,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,0,1,1,44,1280,800,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0
3,4,4,3,4,4,5,5,4,5,2,4,2,5,1,3,5,5,5,4,1,1,1,5,4,5,187,88,165,2,6,4,6,5,6,2,7,6,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,3,2,1,1,29,360,640,1,1,1,2,1,1,Physics,0,0,0,1,1,0,0,0,6,2
5,5,5,5,3,5,5,5,5,4,5,5,5,5,4,3,0,5,3,3,5,5,5,4,4,5,2,122,115,7,2,3,1,7,4,6,5,7,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,2,1,16,768,1024,1,4,1,2,1,4,,0,0,0,0,1,0,0,0,7,2
4,5,4,1,5,3,5,4,3,3,5,5,5,4,5,5,5,1,5,5,1,1,5,5,5,5,35,333,791,4,7,4,4,7,5,6,1,4,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,3,1,2,28,1600,900,1,2,1,2,1,1,,0,0,0,1,0,0,0,0,7,2
5,4,5,4,2,2,4,5,4,3,4,2,3,3,5,3,4,4,5,2,4,2,5,3,2,4,6,358,530,6,6,7,2,7,6,5,2,2,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,15,320,480,1,7,1,2,1,3,,0,0,0,1,0,1,0,0,4,2
4,4,4,4,4,4,3,4,4,5,4,4,1,2,4,2,3,5,1,5,5,1,5,4,2,4,40,102,208,5,3,2,6,7,6,7,6,5,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,1,2,1,29,1600,900,1,1,1,2,2,2,English,0,0,0,1,0,0,0,0,6,2
5,4,4,5,5,5,5,2,4,3,1,5,5,4,1,4,3,4,1,3,1,4,2,3,5,4,1138,69,118,6,2,5,2,6,6,6,5,7,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,1,1,1,46,1280,1024,2,1,1,1,3,2,Comp Sci and Math,0,0,0,1,0,0,0,0,6,2
2,5,3,4,5,3,3,5,3,4,4,3,3,3,1,4,4,3,3,4,1,1,4,4,4,3,40,79,178,4,4,4,3,4,5,5,4,5,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,2,14,480,853,1,7,4,2,1,4,,0,0,0,1,0,0,0,0,6,2
5,5,4,5,4,4,0,5,4,5,5,5,2,2,2,2,4,5,5,4,2,2,4,5,5,4,2,93,124,6,2,7,6,6,7,6,2,6,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4,3,1,1,50,1920,1080,1,1,3,2,1,4,Retailing,0,0,0,1,0,0,0,0,7,2
4,5,4,4,4,4,4,3,5,2,1,5,4,2,4,1,3,4,2,3,5,2,3,3,4,5,11,141,201,5,3,6,5,5,6,7,5,5,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,3,2,1,1,43,360,598,1,6,2,1,2,3,Liberal arts,0,0,0,1,0,0,0,0,5,2
4,5,5,5,4,2,5,4,5,5,1,5,2,4,1,3,4,3,4,3,4,2,1,5,5,3,15,153,216,5,5,3,4,7,3,7,1,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,2,1,2,36,768,1024,1,3,1,2,3,3,Chemistry,0,0,0,0,1,0,0,0,4,2
5,5,5,4,5,0,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,241,65,119,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,3,1,1,50,1280,1024,1,2,1,1,2,4,,0,0,0,1,0,0,0,0,7,1
3,5,4,3,5,3,5,3,0,5,5,5,3,3,2,1,2,5,5,3,5,1,5,5,5,5,1038,69,109,2,1,6,5,7,4,7,6,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,21,1920,1080,1,7,2,2,1,4,German,0,0,0,1,0,0,0,0,7,2
