education,urban,gender,engnat,age,hand,religion,voted,married,familysize,major,subject_id
1.0,3.0,1.0,1.0,15.0,1.0,7.0,2.0,1.0,4.0,,29
2.0,2.0,2.0,1.0,16.0,1.0,12.0,2.0,1.0,3.0,,30
2.0,3.0,1.0,1.0,55.0,1.0,6.0,1.0,2.0,2.0,psychology ,31
4.0,2.0,1.0,1.0,34.0,1.0,9.0,2.0,1.0,2.0,Medicine,32
4.0,3.0,1.0,2.0,25.0,1.0,10.0,1.0,1.0,2.0,Mathematics ,33
1.0,3.0,2.0,2.0,14.0,1.0,2.0,2.0,1.0,3.0,,34
2.0,1.0,1.0,2.0,17.0,1.0,12.0,2.0,1.0,2.0,,35
2.0,3.0,1.0,1.0,43.0,1.0,2.0,1.0,1.0,3.0,,36
1.0,3.0,2.0,1.0,15.0,1.0,7.0,2.0,1.0,2.0,,37
4.0,3.0,1.0,2.0,17.0,1.0,4.0,2.0,1.0,1.0,Math,38
2.0,2.0,2.0,2.0,18.0,1.0,2.0,2.0,1.0,2.0,,39
2.0,2.0,2.0,2.0,19.0,1.0,4.0,2.0,1.0,2.0,,40
2.0,2.0,2.0,1.0,24.0,1.0,1.0,2.0,1.0,5.0,,41
1.0,3.0,2.0,2.0,16.0,1.0,1.0,2.0,1.0,2.0,,42
2.0,3.0,2.0,2.0,24.0,1.0,12.0,2.0,1.0,2.0,,43
2.0,2.0,2.0,1.0,17.0,1.0,12.0,2.0,1.0,2.0,,44
1.0,2.0,2.0,1.0,15.0,1.0,1.0,2.0,1.0,2.0,none,45
3.0,3.0,2.0,2.0,37.0,1.0,2.0,2.0,1.0,2.0,biochemistry,46
2.0,3.0,1.0,1.0,20.0,1.0,4.0,2.0,1.0,2.0,Software Engineering,47
2.0,2.0,3.0,1.0,19.0,1.0,2.0,1.0,1.0,1.0,,48
3.0,2.0,2.0,2.0,21.0,1.0,2.0,1.0,1.0,1.0,Art,49
2.0,2.0,2.0,1.0,18.0,3.0,12.0,2.0,1.0,2.0,,50
2.0,2.0,2.0,1.0,20.0,1.0,2.0,2.0,1.0,2.0,,51
1.0,3.0,2.0,1.0,18.0,1.0,12.0,2.0,1.0,2.0,,52
4.0,2.0,1.0,1.0,56.0,1.0,4.0,1.0,2.0,2.0,history,53
2.0,1.0,2.0,2.0,22.0,1.0,1.0,1.0,1.0,2.0,psychology,54
3.0,3.0,1.0,1.0,32.0,3.0,12.0,2.0,1.0,3.0,Internet Computing,55
4.0,2.0,1.0,1.0,49.0,1.0,6.0,1.0,1.0,3.0,engineering,56
1.0,3.0,1.0,2.0,14.0,1.0,2.0,2.0,1.0,2.0,,57
3.0,2.0,2.0,2.0,39.0,1.0,1.0,1.0,2.0,1.0,psychology,58
2.0,3.0,2.0,1.0,16.0,2.0,9.0,2.0,1.0,2.0,,59
2.0,2.0,2.0,2.0,14.0,1.0,1.0,2.0,1.0,1.0,,60
2.0,2.0,2.0,1.0,17.0,1.0,6.0,2.0,1.0,3.0,,61
1.0,2.0,1.0,2.0,14.0,3.0,4.0,2.0,1.0,2.0,,62
2.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,2.0,2.0,,63
2.0,1.0,2.0,1.0,30.0,1.0,1.0,2.0,1.0,2.0,Business ,64
3.0,0.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,,65
3.0,2.0,1.0,1.0,29.0,1.0,1.0,2.0,1.0,1.0,Physics,66
2.0,1.0,2.0,1.0,16.0,1.0,4.0,2.0,1.0,4.0,,67
1.0,3.0,1.0,2.0,28.0,1.0,2.0,2.0,1.0,1.0,,68
2.0,3.0,1.0,1.0,15.0,1.0,7.0,2.0,1.0,3.0,,69
3.0,1.0,2.0,1.0,29.0,1.0,1.0,2.0,2.0,2.0,English,70
3.0,1.0,1.0,1.0,46.0,2.0,1.0,1.0,3.0,2.0,Comp Sci and Math,71
1.0,2.0,2.0,2.0,14.0,1.0,7.0,2.0,1.0,4.0,,72
4.0,3.0,1.0,1.0,50.0,1.0,1.0,2.0,1.0,4.0,Retailing,73
3.0,2.0,1.0,1.0,43.0,1.0,6.0,1.0,2.0,3.0,Liberal arts,74
0.0,2.0,1.0,2.0,36.0,1.0,3.0,2.0,3.0,3.0,Chemistry,75
1.0,3.0,1.0,1.0,50.0,1.0,2.0,1.0,2.0,4.0,,76
2.0,2.0,2.0,1.0,21.0,1.0,7.0,2.0,1.0,4.0,German,77
2.0,2.0,2.0,2.0,18.0,1.0,1.0,2.0,1.0,4.0,,78
1.0,2.0,2.0,1.0,14.0,2.0,8.0,2.0,1.0,3.0,,79
4.0,1.0,1.0,1.0,60.0,3.0,6.0,1.0,3.0,3.0,English,80
2.0,1.0,1.0,1.0,33.0,0.0,1.0,2.0,3.0,3.0,psychology,81
1.0,3.0,2.0,1.0,14.0,1.0,2.0,2.0,1.0,2.0,,82
3.0,1.0,1.0,1.0,62.0,1.0,1.0,1.0,2.0,3.0,English,83
0.0,2.0,1.0,1.0,45.0,2.0,6.0,2.0,2.0,3.0,Computer Information Systens,84
3.0,3.0,1.0,1.0,23.0,1.0,2.0,1.0,1.0,3.0,history,85
1.0,2.0,2.0,1.0,15.0,1.0,5.0,2.0,1.0,2.0,,86
1.0,2.0,1.0,1.0,17.0,1.0,2.0,2.0,1.0,2.0,,87
3.0,2.0,1.0,1.0,27.0,2.0,2.0,1.0,1.0,2.0,Physics,88
2.0,3.0,2.0,2.0,17.0,1.0,2.0,2.0,1.0,2.0,,89
2.0,2.0,1.0,1.0,19.0,1.0,2.0,2.0,1.0,3.0,Planning on majoring in physics/astrophysics ,90
3.0,2.0,1.0,2.0,37.0,1.0,1.0,1.0,2.0,2.0,Business,91
2.0,3.0,1.0,1.0,20.0,3.0,2.0,1.0,1.0,2.0,,92
2.0,1.0,1.0,1.0,14.0,1.0,2.0,2.0,1.0,1.0,Astrophysics,93
2.0,2.0,3.0,2.0,18.0,1.0,2.0,1.0,1.0,5.0,Biochemistry,94
4.0,2.0,2.0,1.0,42.0,1.0,12.0,2.0,2.0,5.0,Education,95
2.0,1.0,1.0,1.0,19.0,1.0,2.0,1.0,1.0,2.0,Engineering,96
0.0,1.0,2.0,1.0,17.0,1.0,1.0,2.0,1.0,2.0,,97
3.0,2.0,2.0,1.0,57.0,1.0,1.0,1.0,3.0,3.0,Art,98
1.0,1.0,1.0,1.0,16.0,1.0,2.0,2.0,1.0,3.0,,99
1.0,3.0,2.0,1.0,15.0,1.0,2.0,2.0,1.0,2.0,,100
3.0,1.0,1.0,1.0,45.0,1.0,2.0,2.0,2.0,2.0,,101
4.0,3.0,2.0,1.0,55.0,1.0,1.0,1.0,2.0,3.0,science,102
2.0,3.0,2.0,2.0,20.0,1.0,1.0,1.0,1.0,2.0,,103
2.0,2.0,3.0,1.0,16.0,1.0,7.0,2.0,1.0,2.0,,104
2.0,3.0,2.0,1.0,20.0,2.0,1.0,2.0,1.0,2.0,,105
1.0,2.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,2.0,,106
1.0,3.0,2.0,1.0,18.0,1.0,2.0,2.0,1.0,1.0,,107
1.0,2.0,1.0,1.0,16.0,1.0,7.0,2.0,1.0,3.0,,108
4.0,1.0,2.0,1.0,68.0,1.0,9.0,2.0,2.0,3.0,Music/Education,109
2.0,2.0,1.0,1.0,16.0,1.0,2.0,2.0,1.0,2.0,,110
2.0,3.0,2.0,1.0,21.0,1.0,2.0,2.0,1.0,5.0,Accounting,111
1.0,2.0,2.0,1.0,14.0,1.0,9.0,2.0,1.0,7.0,,112
2.0,3.0,2.0,2.0,18.0,1.0,4.0,2.0,1.0,4.0,electronics engineering,113
3.0,1.0,1.0,2.0,25.0,0.0,10.0,1.0,3.0,5.0,,114
3.0,2.0,2.0,1.0,72.0,1.0,1.0,2.0,3.0,4.0,art history and psychology,115
2.0,3.0,2.0,2.0,20.0,1.0,8.0,1.0,1.0,1.0,psychology,116
3.0,3.0,2.0,1.0,45.0,1.0,6.0,2.0,1.0,2.0,psychology,117
2.0,3.0,1.0,2.0,29.0,1.0,0.0,2.0,1.0,1.0,,118
2.0,3.0,1.0,2.0,20.0,1.0,4.0,2.0,1.0,1.0,mechanical engineering,119
1.0,2.0,2.0,1.0,17.0,1.0,6.0,2.0,1.0,3.0,,120
2.0,3.0,2.0,1.0,17.0,1.0,1.0,2.0,1.0,2.0,computer science,121
3.0,2.0,2.0,1.0,23.0,2.0,4.0,1.0,1.0,2.0,Media and Communication,122
3.0,1.0,1.0,1.0,41.0,1.0,2.0,1.0,2.0,4.0,biology,123
3.0,2.0,2.0,1.0,63.0,1.0,2.0,1.0,3.0,8.0,Fine Art,124
2.0,2.0,3.0,1.0,14.0,1.0,2.0,2.0,1.0,2.0,,125
3.0,2.0,2.0,1.0,63.0,1.0,6.0,1.0,3.0,4.0,history,126
2.0,3.0,1.0,1.0,48.0,2.0,7.0,1.0,2.0,2.0,,127
4.0,3.0,1.0,2.0,44.0,1.0,4.0,1.0,2.0,2.0,Biology,128
3.0,2.0,1.0,1.0,36.0,1.0,7.0,2.0,2.0,0.0,English,129
2.0,2.0,2.0,1.0,14.0,1.0,2.0,2.0,1.0,2.0,,130
4.0,2.0,2.0,1.0,27.0,1.0,2.0,1.0,1.0,1.0,Law,131
1.0,2.0,2.0,1.0,15.0,1.0,7.0,2.0,1.0,1.0,,132
3.0,1.0,2.0,1.0,25.0,1.0,6.0,2.0,2.0,4.0,Bible,133
2.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,2.0,,134
2.0,2.0,2.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,,135
2.0,1.0,1.0,2.0,27.0,1.0,7.0,2.0,1.0,0.0,Psychology,136
3.0,2.0,2.0,1.0,54.0,1.0,1.0,2.0,2.0,4.0,Biology and computer science,137
2.0,3.0,1.0,1.0,44.0,3.0,6.0,1.0,3.0,4.0,,138
4.0,1.0,1.0,1.0,29.0,1.0,9.0,2.0,1.0,2.0,Statistics,139
1.0,2.0,2.0,2.0,17.0,1.0,4.0,2.0,1.0,2.0,,140
3.0,2.0,2.0,1.0,59.0,2.0,6.0,2.0,3.0,3.0,history,141
1.0,3.0,2.0,1.0,14.0,1.0,1.0,2.0,1.0,3.0,,142
2.0,3.0,2.0,2.0,16.0,1.0,1.0,2.0,1.0,3.0,psychology and law,143
4.0,2.0,1.0,1.0,59.0,1.0,1.0,2.0,2.0,3.0,Chemistry,144
2.0,1.0,2.0,1.0,36.0,1.0,12.0,2.0,2.0,1.0,Criminology ,145
3.0,2.0,1.0,2.0,20.0,1.0,12.0,1.0,1.0,0.0,Medicine ,146
2.0,3.0,2.0,1.0,19.0,1.0,2.0,2.0,1.0,4.0,psychology,147
3.0,2.0,2.0,1.0,21.0,1.0,7.0,1.0,1.0,2.0,history,148
2.0,3.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,Chemistry,149
2.0,1.0,2.0,1.0,19.0,1.0,1.0,2.0,1.0,1.0,International Studies,150
3.0,2.0,1.0,1.0,27.0,1.0,2.0,1.0,1.0,2.0,economics,151
2.0,3.0,2.0,1.0,18.0,1.0,1.0,2.0,1.0,2.0,,152
4.0,2.0,2.0,1.0,25.0,2.0,1.0,1.0,1.0,2.0,Library science ,153
2.0,3.0,2.0,2.0,17.0,1.0,4.0,2.0,1.0,4.0,Architecture,154
1.0,2.0,1.0,1.0,15.0,1.0,12.0,2.0,1.0,3.0,,155
1.0,1.0,2.0,2.0,16.0,2.0,8.0,2.0,1.0,2.0,,156
3.0,3.0,1.0,2.0,22.0,1.0,2.0,2.0,1.0,1.0,Computing,157
3.0,1.0,2.0,2.0,22.0,1.0,12.0,1.0,1.0,1.0,English and civics,158
3.0,3.0,2.0,1.0,21.0,1.0,4.0,1.0,1.0,1.0,Occupational Therapy,159
2.0,3.0,1.0,2.0,16.0,1.0,1.0,2.0,1.0,2.0,,160
3.0,3.0,1.0,1.0,18.0,1.0,4.0,2.0,1.0,2.0,Engineering,161
2.0,3.0,2.0,2.0,20.0,1.0,4.0,2.0,1.0,8.0,Biology,162
1.0,3.0,2.0,2.0,15.0,2.0,12.0,2.0,1.0,1.0,architecture,163
2.0,1.0,2.0,1.0,18.0,1.0,6.0,2.0,1.0,2.0,Early Childhood Education,164
4.0,2.0,2.0,1.0,33.0,3.0,2.0,2.0,2.0,3.0,Forensic biology,165
3.0,1.0,1.0,2.0,22.0,1.0,7.0,2.0,1.0,2.0,processing animal products ( food technology ,166
3.0,1.0,1.0,2.0,33.0,1.0,2.0,1.0,1.0,2.0,Statistics,167
4.0,2.0,2.0,1.0,22.0,1.0,4.0,2.0,1.0,2.0,English,168
3.0,3.0,2.0,1.0,27.0,1.0,0.0,2.0,1.0,1.0,Physical Education,169
2.0,1.0,1.0,1.0,17.0,1.0,2.0,2.0,1.0,3.0,,170
4.0,2.0,2.0,1.0,38.0,1.0,6.0,1.0,2.0,2.0,library science,171
3.0,1.0,2.0,1.0,38.0,0.0,7.0,2.0,0.0,1.0,general education ,172
2.0,2.0,1.0,1.0,33.0,1.0,1.0,1.0,1.0,3.0,,173
2.0,3.0,1.0,1.0,22.0,1.0,4.0,2.0,1.0,3.0,Forestry,174
2.0,3.0,1.0,2.0,19.0,1.0,1.0,2.0,1.0,2.0,Computer Science,175
2.0,2.0,2.0,2.0,23.0,1.0,2.0,1.0,1.0,2.0,,176
2.0,3.0,2.0,2.0,26.0,1.0,1.0,2.0,1.0,1.0,,177
3.0,2.0,2.0,1.0,23.0,1.0,1.0,2.0,1.0,5.0,Environmental Science,178
3.0,2.0,2.0,1.0,21.0,1.0,7.0,1.0,1.0,2.0,English,179
2.0,2.0,1.0,2.0,21.0,1.0,4.0,1.0,1.0,1.0,,180
2.0,3.0,2.0,1.0,24.0,1.0,7.0,2.0,2.0,2.0,,181
1.0,1.0,3.0,1.0,17.0,3.0,9.0,2.0,1.0,5.0,,182
2.0,2.0,1.0,1.0,24.0,1.0,1.0,2.0,1.0,2.0,Commerce,183
3.0,1.0,1.0,2.0,26.0,3.0,2.0,1.0,1.0,2.0,,184
1.0,2.0,1.0,1.0,16.0,1.0,1.0,2.0,1.0,2.0,,185
4.0,3.0,2.0,1.0,27.0,1.0,4.0,1.0,1.0,2.0,English,186
2.0,2.0,1.0,1.0,17.0,1.0,2.0,2.0,1.0,4.0,,187
2.0,3.0,1.0,1.0,38.0,1.0,1.0,2.0,1.0,2.0,,188
2.0,2.0,1.0,1.0,18.0,2.0,2.0,2.0,1.0,3.0,Biological Sciences,189
4.0,2.0,2.0,1.0,31.0,1.0,2.0,2.0,3.0,2.0,Social work,190
4.0,2.0,1.0,1.0,56.0,1.0,4.0,2.0,2.0,2.0,Chemistry,191
3.0,2.0,2.0,1.0,35.0,1.0,2.0,1.0,2.0,1.0,Deaf Studies,192
3.0,3.0,1.0,1.0,38.0,1.0,1.0,2.0,2.0,3.0,Mechanical and electrical engineering,193
2.0,3.0,2.0,2.0,18.0,1.0,10.0,2.0,1.0,7.0,music directors,194
2.0,1.0,1.0,1.0,18.0,1.0,7.0,2.0,1.0,3.0,Chemical Engineering,195
3.0,2.0,2.0,1.0,26.0,1.0,12.0,1.0,1.0,2.0,Anthropology,196
3.0,2.0,2.0,1.0,41.0,2.0,2.0,2.0,2.0,2.0,English,197
1.0,2.0,2.0,1.0,16.0,1.0,7.0,2.0,1.0,3.0,,198
4.0,1.0,1.0,1.0,53.0,1.0,1.0,2.0,1.0,3.0,psychology,199
2.0,3.0,1.0,1.0,17.0,1.0,2.0,2.0,1.0,4.0,,200
3.0,2.0,2.0,1.0,26.0,1.0,4.0,2.0,1.0,1.0,psychology,201
3.0,2.0,1.0,1.0,29.0,1.0,7.0,2.0,2.0,2.0,IT,202
1.0,1.0,1.0,1.0,14.0,1.0,12.0,2.0,1.0,2.0,,203
3.0,1.0,2.0,2.0,24.0,1.0,7.0,1.0,1.0,2.0,History,204
2.0,2.0,1.0,1.0,19.0,1.0,2.0,1.0,1.0,2.0,,205
3.0,2.0,2.0,1.0,32.0,1.0,1.0,2.0,1.0,4.0,Psychology,206
1.0,1.0,2.0,1.0,14.0,1.0,1.0,2.0,1.0,4.0,,207
2.0,3.0,2.0,2.0,18.0,1.0,8.0,2.0,1.0,1.0,,208
2.0,3.0,1.0,1.0,16.0,1.0,2.0,2.0,1.0,2.0,,209
3.0,1.0,1.0,1.0,27.0,1.0,6.0,2.0,1.0,2.0,Environmental Technology,210
3.0,3.0,2.0,2.0,22.0,1.0,2.0,1.0,1.0,2.0,chemistry engineering,211
1.0,1.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,2.0,,212
2.0,1.0,3.0,1.0,18.0,1.0,6.0,1.0,3.0,4.0,,213
2.0,3.0,1.0,2.0,29.0,1.0,7.0,2.0,1.0,2.0,tourism,214
1.0,3.0,2.0,1.0,15.0,2.0,12.0,2.0,1.0,3.0,,215
2.0,3.0,1.0,1.0,25.0,3.0,2.0,1.0,1.0,2.0,,216
2.0,2.0,2.0,1.0,18.0,1.0,1.0,1.0,1.0,3.0,,217
3.0,2.0,1.0,1.0,22.0,1.0,1.0,2.0,1.0,2.0,computer engineering,218
3.0,1.0,2.0,2.0,23.0,1.0,4.0,1.0,1.0,5.0,agri+AC0-business management,219
2.0,2.0,2.0,1.0,17.0,1.0,6.0,2.0,1.0,1.0,,220
2.0,3.0,2.0,1.0,19.0,1.0,2.0,0.0,1.0,1.0,,221
2.0,2.0,1.0,1.0,37.0,1.0,1.0,2.0,2.0,2.0,,222
1.0,3.0,2.0,2.0,16.0,1.0,7.0,2.0,1.0,2.0,computer science,223
2.0,3.0,1.0,1.0,21.0,1.0,6.0,2.0,1.0,2.0,Law,224
4.0,3.0,1.0,2.0,34.0,2.0,7.0,1.0,1.0,2.0,Architecture engineering,225
2.0,2.0,1.0,2.0,26.0,1.0,6.0,1.0,1.0,3.0,History,226
2.0,1.0,2.0,1.0,17.0,1.0,2.0,2.0,1.0,2.0,,227
2.0,3.0,1.0,2.0,35.0,1.0,2.0,1.0,1.0,2.0,architecture,228
3.0,2.0,2.0,1.0,47.0,1.0,6.0,1.0,1.0,0.0,medical transcription,229
1.0,2.0,2.0,1.0,17.0,2.0,7.0,2.0,1.0,3.0,,230
2.0,1.0,2.0,1.0,17.0,1.0,7.0,2.0,1.0,4.0,,231
1.0,2.0,2.0,2.0,16.0,1.0,1.0,2.0,1.0,1.0,,232
2.0,1.0,2.0,2.0,18.0,1.0,2.0,2.0,1.0,4.0,,233
4.0,1.0,3.0,2.0,33.0,1.0,1.0,1.0,2.0,4.0,chemistry,234
2.0,1.0,2.0,2.0,18.0,1.0,12.0,2.0,1.0,2.0,Law,235
2.0,3.0,1.0,1.0,58.0,1.0,7.0,1.0,3.0,6.0,,236
2.0,3.0,2.0,2.0,18.0,3.0,4.0,2.0,1.0,2.0,,237
2.0,2.0,1.0,2.0,22.0,1.0,1.0,1.0,1.0,4.0,psychology,238
2.0,2.0,1.0,1.0,19.0,1.0,2.0,2.0,1.0,3.0,,239
2.0,2.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,2.0,Computer Science,240
2.0,2.0,1.0,2.0,17.0,2.0,4.0,2.0,1.0,3.0,Agricultural Economics,241
1.0,2.0,1.0,1.0,16.0,1.0,6.0,2.0,1.0,2.0,,242
4.0,1.0,1.0,2.0,41.0,1.0,4.0,2.0,2.0,4.0,Languages,243
1.0,3.0,2.0,2.0,14.0,1.0,7.0,2.0,1.0,3.0,,244
2.0,3.0,2.0,1.0,19.0,1.0,7.0,2.0,1.0,2.0,Law,245
2.0,1.0,1.0,1.0,21.0,1.0,2.0,2.0,1.0,2.0,philosophy,246
3.0,3.0,2.0,2.0,22.0,1.0,1.0,2.0,1.0,3.0,psychology,247
2.0,3.0,2.0,1.0,29.0,1.0,6.0,2.0,1.0,2.0,economics,248
3.0,2.0,2.0,1.0,39.0,3.0,12.0,1.0,1.0,1.0,fashion design,249
2.0,2.0,1.0,1.0,26.0,1.0,2.0,2.0,1.0,1.0,Computer Science,250
1.0,1.0,2.0,1.0,15.0,1.0,2.0,2.0,1.0,2.0,,251
2.0,3.0,2.0,1.0,33.0,1.0,6.0,2.0,2.0,7.0,,252
3.0,3.0,2.0,1.0,58.0,1.0,2.0,1.0,1.0,1.0,Linguistics,253
1.0,1.0,2.0,1.0,16.0,1.0,1.0,2.0,1.0,2.0,,254
2.0,3.0,1.0,2.0,21.0,1.0,9.0,1.0,1.0,2.0,,255
2.0,3.0,1.0,1.0,14.0,2.0,2.0,2.0,1.0,1.0,,256
2.0,3.0,2.0,1.0,23.0,1.0,2.0,2.0,1.0,3.0,,257
2.0,2.0,2.0,1.0,18.0,1.0,1.0,2.0,1.0,3.0,mathematics,258
3.0,3.0,2.0,2.0,22.0,3.0,12.0,2.0,1.0,1.0,computer science,259
2.0,1.0,2.0,2.0,20.0,1.0,2.0,2.0,1.0,2.0,languages,260
2.0,2.0,2.0,1.0,19.0,1.0,1.0,2.0,1.0,3.0,art,261
1.0,2.0,2.0,1.0,15.0,1.0,6.0,2.0,1.0,3.0,Chemistry ,262
2.0,2.0,2.0,1.0,15.0,1.0,2.0,2.0,1.0,2.0,,263
3.0,2.0,1.0,1.0,29.0,1.0,2.0,1.0,1.0,5.0,Criminal Justice,264
2.0,2.0,2.0,1.0,16.0,1.0,4.0,2.0,1.0,2.0,,265
2.0,1.0,2.0,1.0,18.0,2.0,2.0,2.0,1.0,3.0,,266
3.0,3.0,1.0,1.0,33.0,1.0,2.0,1.0,1.0,2.0,Mathematics,267
2.0,1.0,2.0,2.0,20.0,3.0,12.0,2.0,1.0,3.0,,268
2.0,3.0,2.0,2.0,19.0,1.0,8.0,2.0,1.0,2.0,nursing,269
2.0,3.0,2.0,1.0,15.0,1.0,6.0,2.0,1.0,4.0,+AC0-0,270
2.0,3.0,1.0,2.0,17.0,1.0,2.0,2.0,1.0,1.0,,271
2.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,Computer Science,272
3.0,2.0,3.0,1.0,21.0,1.0,3.0,2.0,1.0,4.0,psychology,273
2.0,2.0,1.0,2.0,17.0,1.0,1.0,2.0,1.0,3.0,chemistry,274
2.0,1.0,2.0,2.0,18.0,1.0,10.0,2.0,1.0,4.0,Medical,275
3.0,3.0,3.0,1.0,25.0,1.0,12.0,2.0,1.0,2.0,art,276
2.0,3.0,3.0,1.0,18.0,1.0,2.0,2.0,1.0,2.0,Art,277
2.0,2.0,2.0,1.0,67.0,1.0,2.0,2.0,3.0,3.0,,278
2.0,2.0,1.0,1.0,17.0,1.0,2.0,2.0,1.0,4.0,,279
3.0,1.0,1.0,2.0,26.0,1.0,12.0,2.0,1.0,14.0,paraspsychology,280
3.0,2.0,1.0,1.0,64.0,1.0,12.0,1.0,2.0,5.0,Engineering,281
3.0,3.0,1.0,2.0,25.0,1.0,1.0,1.0,1.0,1.0,electrical engineering,282
2.0,1.0,2.0,1.0,19.0,1.0,4.0,1.0,1.0,2.0,Health Science,283
4.0,2.0,1.0,1.0,61.0,1.0,1.0,1.0,2.0,2.0,electrical engineering,284
1.0,3.0,2.0,2.0,16.0,1.0,2.0,2.0,1.0,3.0,,285
2.0,3.0,1.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,,286
1.0,3.0,2.0,1.0,16.0,1.0,7.0,2.0,1.0,1.0,,287
2.0,2.0,1.0,2.0,21.0,1.0,2.0,2.0,1.0,5.0,game design,288
0.0,3.0,1.0,2.0,24.0,1.0,6.0,1.0,1.0,6.0,Civil engineering,289
3.0,1.0,2.0,1.0,21.0,1.0,1.0,2.0,1.0,1.0,Nursing,290
2.0,2.0,3.0,1.0,17.0,2.0,1.0,2.0,1.0,3.0,,291
2.0,2.0,1.0,1.0,19.0,1.0,1.0,2.0,1.0,3.0,Electronic Engineering +ACY- Physics,292
2.0,2.0,2.0,1.0,19.0,1.0,1.0,2.0,1.0,2.0,,293
2.0,3.0,1.0,2.0,18.0,1.0,3.0,2.0,1.0,1.0,Physics,294
3.0,1.0,3.0,2.0,33.0,2.0,1.0,1.0,1.0,2.0,Computer Science,295
2.0,1.0,2.0,1.0,27.0,2.0,6.0,1.0,1.0,2.0,English,296
2.0,3.0,1.0,2.0,18.0,1.0,3.0,2.0,1.0,1.0,,297
4.0,3.0,1.0,1.0,24.0,1.0,4.0,2.0,1.0,3.0,Psychology,298
2.0,2.0,2.0,1.0,18.0,3.0,12.0,2.0,1.0,3.0,,299
2.0,3.0,2.0,2.0,16.0,1.0,2.0,2.0,1.0,1.0,,300
2.0,3.0,2.0,1.0,43.0,1.0,1.0,2.0,2.0,1.0,,301
3.0,1.0,2.0,2.0,21.0,2.0,12.0,2.0,1.0,4.0,Orthopedagogiek ,302
3.0,2.0,1.0,1.0,22.0,1.0,1.0,2.0,1.0,1.0,philosophy,303
4.0,2.0,1.0,1.0,58.0,1.0,9.0,2.0,3.0,4.0,anthropology,304
1.0,2.0,2.0,1.0,15.0,3.0,6.0,2.0,1.0,3.0,,305
1.0,2.0,1.0,1.0,16.0,1.0,2.0,2.0,1.0,5.0,,306
