race_white,race_nerdy,race_native_american,writing_novel,read_tech_reports,online_over_inperson,introspective,hobbies_over_people,books_over_parties,bookish,libraries_over_publicspace,race_native_austrailian,like_hard_material,race_hispanic,diagnosed_autistic,play_many_videogames,race_arab,race_asian,interested_science,playes_rpgs,in_advanced_classes,collect_books,intelligence_over_appearance,watch_science_shows,academic_over_social,like_science_fiction,like_dry_topics,race_black,calm,disorganized,extraverted,dependable,critical,opennness,anxious,sympathetic,reserved,conventional,was_odd_child,prefer_fictional_people,enjoy_learning,excited_about_research,strange_person,like_superheroes,socially_awkward,education,urban,gender,engnat,age,hand,religion,voted,married,familysize,major,subject_id
1.0,0.0,0.0,1.0,3.0,4.0,5.0,4.0,5.0,4.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,5.0,0.0,3.0,4.0,2.0,7.0,1.0,5.0,6.0,7.0,6.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,1.0,6.0,2.0,1.0,2.0,,11
1.0,0.0,0.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,0.0,7.0,3.0,4.0,6.0,6.0,6.0,1.0,3.0,6.0,2.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,53.0,1.0,3.0,2.0,2.0,2.0,Allied Medical Technology,12
0.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,6.0,6.0,3.0,7.0,5.0,7.0,7.0,7.0,3.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,4.0,1.0,2.0,2.0,21.0,2.0,4.0,2.0,1.0,2.0,English,13
1.0,0.0,0.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,31.0,2.0,2.0,2.0,2.0,2.0,information technology,14
1.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,0.0,5.0,6.0,1.0,6.0,1.0,3.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,39.0,1.0,2.0,2.0,3.0,1.0,Digital Media,15
0.0,1.0,0.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,0.0,2.0,7.0,1.0,6.0,3.0,3.0,2.0,7.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,0.0,3.0,2.0,2.0,16.0,1.0,2.0,2.0,1.0,0.0,psychology,16
0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,4.0,0.0,7.0,2.0,2.0,5.0,4.0,5.0,2.0,5.0,7.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,2.0,1.0,2.0,20.0,1.0,10.0,2.0,1.0,4.0,Chemical engineering,17
1.0,0.0,0.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,4.0,1.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,5.0,0.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,6.0,7.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,24.0,1.0,6.0,2.0,1.0,7.0,,18
1.0,0.0,0.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,0.0,3.0,5.0,1.0,4.0,6.0,2.0,6.0,3.0,6.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,15.0,1.0,2.0,2.0,1.0,2.0,,19
1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,5.0,1.0,3.0,6.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,29.0,1.0,4.0,2.0,2.0,1.0,Psychology,20
1.0,0.0,0.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,0.0,6.0,2.0,1.0,7.0,1.0,6.0,5.0,7.0,7.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,3.0,1.0,2.0,1.0,44.0,1.0,6.0,1.0,2.0,6.0,Information Technology,21
1.0,0.0,0.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,0.0,7.0,2.0,1.0,6.0,2.0,5.0,1.0,5.0,7.0,6.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,20.0,1.0,2.0,2.0,1.0,3.0,chemical engineering,22
1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,7.0,2.0,2.0,4.0,7.0,7.0,7.0,1.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,21.0,1.0,12.0,1.0,1.0,1.0,Computer science,23
1.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,1.0,5.0,3.0,3.0,5.0,6.0,7.0,6.0,5.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,5.0,1.0,3.0,2.0,1.0,17.0,1.0,2.0,2.0,1.0,5.0,Business ,24
0.0,1.0,0.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,6.0,2.0,2.0,6.0,6.0,6.0,2.0,4.0,6.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,41.0,1.0,2.0,1.0,1.0,1.0,,25
1.0,0.0,0.0,4.0,2.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,0.0,1.0,6.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,3.0,,26
1.0,0.0,0.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,0.0,6.0,1.0,1.0,6.0,5.0,4.0,3.0,2.0,6.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,50.0,2.0,2.0,2.0,1.0,2.0,Math,27
1.0,0.0,0.0,1.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,0.0,6.0,5.0,2.0,3.0,6.0,6.0,2.0,5.0,7.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,18.0,1.0,2.0,2.0,1.0,3.0,,28
1.0,0.0,0.0,5.0,2.0,3.0,1.0,5.0,4.0,3.0,4.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,4.0,5.0,6.0,6.0,4.0,6.0,4.0,7.0,6.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,15.0,1.0,7.0,2.0,1.0,4.0,,29
0.0,1.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,0.0,3.0,5.0,5.0,6.0,5.0,6.0,2.0,3.0,5.0,1.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,16.0,1.0,12.0,2.0,1.0,3.0,,30
1.0,0.0,0.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,6.0,7.0,5.0,7.0,5.0,7.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,1.0,55.0,1.0,6.0,1.0,2.0,2.0,psychology ,31
1.0,0.0,0.0,1.0,3.0,5.0,4.0,1.0,5.0,4.0,4.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,0.0,2.0,3.0,2.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,34.0,1.0,9.0,2.0,1.0,2.0,Medicine,32
0.0,0.0,0.0,2.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,4.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,0.0,6.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,3.0,1.0,2.0,25.0,1.0,10.0,1.0,1.0,2.0,Mathematics ,33
0.0,0.0,0.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,0.0,7.0,6.0,2.0,7.0,6.0,7.0,2.0,3.0,6.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,2.0,2.0,14.0,1.0,2.0,2.0,1.0,3.0,,34
1.0,0.0,0.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,0.0,6.0,5.0,3.0,6.0,5.0,7.0,4.0,5.0,6.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,17.0,1.0,12.0,2.0,1.0,2.0,,35
1.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,0.0,7.0,6.0,5.0,6.0,1.0,6.0,1.0,3.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,43.0,1.0,2.0,1.0,1.0,3.0,,36
0.0,0.0,0.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,0.0,1.0,7.0,6.0,5.0,7.0,6.0,7.0,2.0,4.0,2.0,3.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,15.0,1.0,7.0,2.0,1.0,2.0,,37
1.0,0.0,0.0,1.0,5.0,3.0,5.0,4.0,3.0,5.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,0.0,3.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,1.0,2.0,17.0,1.0,4.0,2.0,1.0,1.0,Math,38
0.0,0.0,0.0,4.0,3.0,5.0,5.0,2.0,3.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,0.0,2.0,2.0,3.0,5.0,7.0,4.0,5.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,18.0,1.0,2.0,2.0,1.0,2.0,,39
1.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,2.0,0.0,5.0,2.0,6.0,7.0,4.0,7.0,3.0,6.0,6.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,19.0,1.0,4.0,2.0,1.0,2.0,,40
1.0,0.0,0.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,0.0,2.0,7.0,1.0,1.0,5.0,5.0,6.0,7.0,7.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,2.0,2.0,2.0,1.0,24.0,1.0,1.0,2.0,1.0,5.0,,41
0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,5.0,4.0,3.0,4.0,5.0,1.0,3.0,4.0,0.0,7.0,6.0,2.0,5.0,5.0,6.0,5.0,6.0,7.0,1.0,3.0,1.0,1.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,16.0,1.0,1.0,2.0,1.0,2.0,,42
0.0,0.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,0.0,3.0,6.0,5.0,6.0,2.0,7.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,24.0,1.0,12.0,2.0,1.0,2.0,,43
0.0,1.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0.0,1.0,5.0,7.0,6.0,7.0,4.0,7.0,6.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,17.0,1.0,12.0,2.0,1.0,2.0,,44
1.0,0.0,0.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,4.0,5.0,0.0,2.0,6.0,4.0,5.0,6.0,5.0,7.0,3.0,1.0,6.0,2.0,5.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,15.0,1.0,1.0,2.0,1.0,2.0,none,45
1.0,0.0,0.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,0.0,5.0,3.0,6.0,6.0,2.0,7.0,2.0,7.0,1.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,37.0,1.0,2.0,2.0,1.0,2.0,biochemistry,46
1.0,0.0,0.0,5.0,5.0,2.0,1.0,4.0,2.0,5.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,0.0,4.0,5.0,6.0,7.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,20.0,1.0,4.0,2.0,1.0,2.0,Software Engineering,47
1.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,1.0,7.0,4.0,1.0,6.0,6.0,7.0,3.0,2.0,1.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,2.0,2.0,3.0,1.0,19.0,1.0,2.0,1.0,1.0,1.0,,48
1.0,0.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,4.0,5.0,2.0,5.0,4.0,3.0,2.0,2.0,5.0,0.0,5.0,5.0,2.0,4.0,5.0,3.0,6.0,3.0,7.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,21.0,1.0,2.0,1.0,1.0,1.0,Art,49
1.0,0.0,0.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,3.0,6.0,6.0,2.0,1.0,7.0,1.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,1.0,18.0,3.0,12.0,2.0,1.0,2.0,,50
1.0,0.0,0.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,0.0,2.0,2.0,1.0,6.0,5.0,5.0,7.0,4.0,7.0,5.0,2.0,4.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,20.0,1.0,2.0,2.0,1.0,2.0,,51
1.0,0.0,1.0,4.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,4.0,0.0,1.0,7.0,6.0,2.0,6.0,7.0,6.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,18.0,1.0,12.0,2.0,1.0,2.0,,52
1.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,4.0,3.0,5.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,0.0,6.0,5.0,2.0,6.0,2.0,6.0,2.0,6.0,6.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,56.0,1.0,4.0,1.0,2.0,2.0,history,53
1.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,3.0,5.0,2.0,2.0,1.0,5.0,2.0,3.0,2.0,0.0,6.0,3.0,3.0,6.0,5.0,5.0,4.0,6.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,22.0,1.0,1.0,1.0,1.0,2.0,psychology,54
1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,2.0,3.0,2.0,6.0,6.0,5.0,5.0,5.0,6.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,32.0,3.0,12.0,2.0,1.0,3.0,Internet Computing,55
1.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,6.0,3.0,1.0,6.0,3.0,6.0,2.0,5.0,7.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,49.0,1.0,6.0,1.0,1.0,3.0,engineering,56
1.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,0.0,6.0,3.0,5.0,6.0,6.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,14.0,1.0,2.0,2.0,1.0,2.0,,57
1.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,0.0,0.0,6.0,6.0,3.0,6.0,5.0,6.0,2.0,4.0,6.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,39.0,1.0,1.0,1.0,2.0,1.0,psychology,58
